"","Name","D_lmass","D_wing","D_tarsus","D_bill","D_tail"
"1","Plain Chachalaca",0.0746349813885807,10,2.7,1.6,10.7
"2","Australian Brush-turkey",0.103095509026974,13.7,12.1,3.09999999999999,8.5
"3","See-see Partridge",0.109705986917328,6,2.8,0.800000000000001,-0.5
"4","Chukar",0.0675280599859374,14,2.7,0.899999999999999,3.39999999999999
"5","Red-legged Partridge",0.161607352406391,8,3.1,0.6,8.8
"6","Black Francolin",0.137201121513485,10,4.6,2,4
"7","Grey Partridge",-0.020943173845243,5,1.1,0.5,5.90000000000001
"8","Common Quail",-0.0861291537299387,-2,-0.600000000000001,-0.0999999999999996,-2.5
"9","Stubble Quail",-0.0794925445756025,-2.2,-1.5,-0.699999999999999,-1.3
"10","Brown Quail",-0.0497615095590636,-2,0,0,-1.5
"11","Blue Grouse",0.416920892090201,21,8,2,31
"12","Willow Ptarmigan",0.134656885146257,13,3.8,0.4,11.9
"13","Rock Ptarmigan",0.0586334392498573,14,2.5,0.680000000000001,13.7
"14","Black Grouse",0.26671479960785,31,4.90000000000001,1.2,70
"15","Caucasian Grouse",0.121547337191288,6,2,1.1,63
"16","Western Capercaillie",0.758944355104713,90,17.3,11,128
"17","Wild Turkey",0.561171050783996,94,6.20000000000002,3.5,56.1
"18","Mountain Quail",0.0459947289038132,0.599999999999994,1.1,0,3.39999999999999
"19","Montezuma Quail",0.0663137004269032,4,1.07,0.279999999999999,-0.5
"20","Plumed Whistling-Duck",-0.0050633019565467,4,5,-3,-1.39999999999999
"21","Fulvous Whistling-Duck",-0.0219789067187746,-1,0.200000000000003,0.100000000000001,2.2
"22","Wandering Whistling-Duck",0.168104394601124,0,0.100000000000001,1,0.200000000000003
"23","White-faced Whistling-Duck",0.0356120717888766,-4.30000000000001,-0.299999999999997,0.300000000000004,-0.899999999999999
"24","White-headed Duck",0.217393493191611,3,1,1,6.90000000000001
"25","Maccoa Duck",0.392139653511014,14,3,5,6.5
"26","Blue-billed Duck",-0.0480861866676374,7,0.199999999999996,-0.100000000000001,1.90000000000001
"27","Musk Duck",0.43573517241092,38,7.8,6,10.3
"28","Freckled Duck",0.14048459764844,12,3.2,5.3,2.5
"29","Black Swan",0.195308752320765,24.2,6.89999999999999,5.5,0.599999999999994
"30","Egyptian Goose",0.229185865770172,17,5.3,1.7,2
"31","South African Shelduck",0.215634838554442,29.6,2,2.8,1.40000000000001
"32","Australian Shelduck",0.188627478211134,27,6.90000000000001,4,3.5
"33","Paradise Shelduck",0.210519136386856,27.2,6.09999999999999,3.7,11.9
"34","Radjah Shelduck",0.107265731761637,2.80000000000001,-0.600000000000001,-2,5.90000000000001
"35","Comb Duck",-0.199920648549058,73,12.8,7,27.7
"36","Green Pygmy-goose",0.0195445960729703,1.70000000000002,0.0999999999999979,-0.199999999999999,-0.899999999999991
"37","Cotton Pygmy-goose",0.248279524585752,6.16999999999999,0.969999999999999,-0.600000000000001,-1.3
"38","Maned Duck",0.0185763855729357,0,0.800000000000004,0.299999999999997,-2.59999999999999
"39","Blue Duck",0.155266128911124,16,2.8,3.2,9.5
"40","Pacific Black Duck",0.0444088413527233,13,2,2,2.2
