Site ,RTHA,COHA,CAQU,ANHU,ALHU,BCHU,WTSW,MODO,ACWO,NUWO,PSFL,BLPH,ATFL,NRWS,HUVI,WSJA,AMCR,CORA,OATI,HOWR,BEWR,NOMO,CATH,BUSH,WREN,OCWA,BHGR,LZBU,SPTO,CALT,SOSP,RCSP,DEJU,LEGO,HOFI,PUFI
CN,1,0,0,0,4,0,0,0,0,3,3,0,1,3,0,1,1,0,2,0,3,2,0,1,2,3,4,0,4,0,3,0,2,0,30,0
BH,1,0,0,2,1,0,0,0,0,2,0,0,2,0,0,2,0,0,1,0,1,0,1,2,1,0,2,0,3,1,0,0,0,0,8,0
V,0,1,0,1,2,3,0,0,3,2,2,1,0,0,0,0,0,1,3,4,0,0,0,1,0,0,1,5,2,1,0,1,1,2,2,2
FCE,0,2,0,2,1,1,0,0,0,1,2,0,2,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,4,2,0,0,1,3,2,0
FCS,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,2,1,1,1,1,5,1,1,0,1,6,0,0
FCN,1,0,0,0,4,1,0,1,1,1,0,0,1,0,1,0,0,1,2,3,0,0,0,1,0,1,2,4,2,3,4,0,1,8,35,0
A,0,0,0,1,1,0,2,0,0,3,0,0,1,0,0,1,0,1,0,5,0,1,0,1,0,0,1,0,1,2,0,0,0,1,8,0
TC,1,0,1,2,1,0,1,0,0,2,0,4,2,0,0,1,0,2,2,0,0,0,0,0,2,2,0,2,3,4,0,3,0,3,5,0
CM,1,0,0,0,4,0,0,0,0,3,3,0,1,3,0,1,1,0,2,0,3,2,0,1,2,3,4,0,4,0,3,0,2,0,30,0
SM,1,1,0,0,0,2,20,0,0,2,1,0,1,0,2,0,0,0,1,2,3,0,0,4,3,4,1,1,4,2,2,0,0,2,1,0
O,1,0,0,2,0,1,0,0,0,2,1,0,5,1,0,6,0,1,4,2,3,0,3,1,7,2,1,0,7,3,3,1,0,5,0,0
R,1,0,8,1,1,2,0,0,0,2,0,0,4,2,0,3,0,0,2,2,3,0,1,0,4,1,1,2,5,7,3,0,0,1,3,1
C,1,0,0,2,1,2,0,0,0,3,0,1,2,0,0,12,0,0,0,6,4,0,4,3,5,3,7,2,4,3,4,0,2,5,2,0
B,0,1,3,0,0,7,0,0,0,3,5,0,2,0,3,1,0,0,4,2,3,0,3,3,7,4,3,0,7,1,3,0,0,2,1,0
FM,1,1,0,4,0,4,0,0,1,2,0,0,0,0,1,3,0,0,4,2,3,0,1,4,7,2,1,0,4,2,3,0,0,3,0,1
SN,2,1,0,2,0,2,1,0,0,2,0,0,2,0,0,1,0,2,2,0,5,0,2,2,4,2,1,0,4,3,2,1,0,5,5,0
FN,1,0,0,4,0,6,0,0,1,3,0,0,1,0,1,0,0,0,2,2,2,1,4,4,7,2,0,0,5,2,3,0,0,2,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,1,0,0,0,2,1,2,0,0,3,2,0
3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,3,3,0
4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,8,0
5,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0
6,0,0,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,0,2,0,0,2,2,1,0,1,0,3,3,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,4,6,1
7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,3,2,1,0,0,0,2,4,0
8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0
9,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,2,0,1,3,0,2,0,0,1,0,0
10,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,1,0,2,1,0,0,0,0,2,2,0
11,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,2,3,0,0,0,2,2,0
12,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,2,1,0
13,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,1,0,3,0,0,0,0,1,2,0
14,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,2,1,0,1,0,3,0,0,0,0,1,0,0
15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,2,0,0,2,0,1,0,0
16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,2,0,3,0,3,0,3,1,0,0,0,2,2,0
17,1,0,1,1,2,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,2,2,0,2,1,1,3,0,0,0,2,0,0
18,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,1,0,2,1,0,0,0,2,2,0
19,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,2,0,0,0,2,0,0,0,1,2,0,0
20,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,2,1,0,0,0,2,1,1,0,1,2,2,1
21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1
