"","month","springness","winterness","year","AMAV","AMCO","AMPI","AMWI","AWPE","BBPL","BCNH","BEKI","BEVI","BNST","BOGU","BRAC","BRPE","BUFF","BVSH","BWTE","CAAU","CAGU","CANG","CANV","CATE","CITE","CLGR","COGA","COLO","DCCO","DUNL","EAGR","ELTE","FOTE","GADW","GBHE","GREG","GRHE","GRYE","GWFG","GWTE","HEEG","HOGR","HOME","HOSP","KILL","LBCU","LBDO","LESA","LESC","LETE","LEYE","MAGO","MALL","MAWR","NOHA","NOPI","NSHO","OSPR","PALO","PBGR","RBGU","RBME","REDH","RIRA","RNPH","ROYT","RTLO","RUDU","RWBL","SAND","SBDO","SEPL","SNEG","SORA","SOSH","SPSA","SUSC","TRBL","VIRA","WECLGR","WEGR","WEGU","WESA","WFIB","WHIM","WILL","WIPH","WISN","YBCH"
"1","jan",0.5,0.866025403784439,2010,0,302,44,105,0,36,5,3,0,14,0,6,19,87,0,5,1,10,650,2,0,4,2,0,0,43,0,4,0,20,76,16,7,1,5,0,58,0,0,2,0,35,1,0,117,80,0,1,20,17,3,4,96,20,2,6,19,66,0,35,0,0,0,0,97,43,0,0,56,19,2,0,4,40,0,0,0,101,12,106,22,6,23,0,2,0
"2","feb",0.866025403784439,0.5,2010,17,327,11,556,11,0,6,5,0,8,25,0,26,87,0,22,0,27,3,0,2,25,0,0,0,42,3,27,0,0,93,6,10,1,4,0,114,6,0,0,2,28,1,0,6,81,0,0,20,32,4,6,105,177,4,4,14,49,15,42,1,0,3,0,98,166,3,0,13,11,0,0,9,0,3,0,0,155,29,589,54,5,49,0,0,0
"3","mar",1,6.12323399573677e-17,2010,24,418,86,432,2,12,1,4,0,29,0,0,5,111,0,12,0,2,0,0,1,30,1,0,0,19,0,30,0,1,121,11,7,0,4,0,29,0,0,0,5,48,1,0,47,77,0,0,15,53,7,3,27,171,3,2,18,24,9,49,0,0,0,1,106,98,0,0,19,13,0,0,1,12,0,0,0,134,18,7,15,6,47,3,5,0
"4","apr",0.866025403784439,-0.5,2010,4,196,0,154,0,18,0,1,2,27,0,1,2,26,0,12,0,2,0,0,0,16,0,0,1,1,0,15,0,16,85,4,11,5,7,0,17,0,0,0,8,26,0,1,35,21,0,0,2,114,21,7,0,12,2,0,5,16,7,10,2,0,0,0,59,135,0,1,30,27,6,0,2,2,1,1,0,82,32,34,2,35,26,0,0,3
"5","may",0.5,-0.866025403784439,2010,11,27,0,30,0,0,2,0,1,13,0,0,1,1,0,0,0,2,0,0,3,5,0,0,0,4,0,3,8,20,75,5,13,10,0,0,0,0,0,0,18,17,0,0,0,0,0,0,0,50,6,1,0,0,2,0,5,7,0,8,1,1,0,0,21,168,0,0,1,16,0,0,2,0,0,1,0,35,7,0,0,12,1,0,0,6
"6","jun",1.22464679914735e-16,-1,2010,19,32,0,0,0,0,3,0,1,33,0,1,1,0,0,0,0,0,0,0,6,1,0,2,0,4,0,0,6,45,112,12,9,7,3,0,0,0,0,0,27,42,0,0,0,0,0,0,0,121,12,0,0,0,3,1,10,1,0,6,0,0,0,0,15,117,0,0,0,25,0,0,1,0,0,0,0,0,18,0,13,0,0,0,0,7
"7","jul",-0.5,-0.866025403784439,2010,6,45,0,0,0,2,1,0,4,30,0,0,4,0,0,0,0,0,0,0,5,3,0,2,0,1,0,0,2,2,52,9,16,10,1,0,0,1,0,0,44,26,0,0,1,0,11,0,0,135,2,8,0,0,3,0,16,3,0,11,0,0,0,0,7,117,0,0,0,22,0,0,0,3,44,6,0,0,15,2,12,4,1,0,0,3
"8","aug",-0.866025403784438,-0.5,2010,5,30,0,0,0,1,0,0,0,6,0,0,4,0,0,0,0,3,0,0,4,10,0,1,0,8,0,0,0,1,60,13,18,8,10,0,0,3,0,0,42,29,0,0,2,0,0,0,0,173,1,1,0,0,2,0,20,1,0,5,0,0,0,0,7,95,0,0,10,12,0,0,0,0,10,6,0,0,19,24,21,8,4,0,0,0
"9","sep",-1,-1.83697019872103e-16,2010,0,10,0,0,0,0,4,3,0,2,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,17,0,0,0,0,29,9,12,4,7,0,0,0,0,0,12,27,4,0,15,0,0,0,0,119,4,0,0,0,6,0,22,2,0,0,0,0,0,0,5,81,0,0,1,19,1,0,1,0,0,4,0,0,29,16,17,5,2,0,0,0
"10","oct",-0.866025403784439,0.5,2010,0,36,0,3,0,13,10,6,0,0,1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,33,0,2,0,0,25,9,13,5,6,8,0,0,0,0,5,33,3,0,14,0,0,3,1,105,2,0,10,0,10,0,12,12,0,0,2,0,0,0,3,242,0,0,122,29,1,0,7,0,44,1,0,1,10,59,41,2,6,0,2,0
