FID,CoverType,band6,ln.band1,ln.band2,ln.band3,ln.band4,ln.band5,ln.band7
54,Forest,7.80156,4.0334365669,3.6997030204,3.4690502572,3.8390727339,2.0362884008,0.4780593301
55,Forest,8.3531364706,4.2179909846,4.0560438963,4.1479280752,4.1301771893,2.7981059589,1.3089685476
56,Forest,7.6912447059,3.9634852267,3.586507931,3.252965751,4.1160465764,1.8283371754,0.0249795154
57,Forest,7.3051411765,3.9920555773,3.6256806887,3.3302993351,3.9951804951,1.6834971439,-0.1870385467
58,Forest,7.6360870588,4.0468582535,3.6633766114,3.4361253345,4.0422335962,1.9202906364,0.1998147143
59,Forest,8.5737670588,4.0601021817,3.6997030204,3.5617811065,3.42672752,2.3085437753,1.2546100012
60,Forest,7.8567176471,3.9920555773,3.6633766114,3.4690502572,4.1578531414,1.902563963,0.3485834725
61,Forest,7.5809294118,4.0601021817,3.801377963,3.5617811065,3.9458036086,2.1950915852,0.7586043972
62,Forest,7.6912447059,4.0198322851,3.586507931,3.4020793456,3.8576711685,1.8845173751,0.3485834725
63,Forest,7.3051411765,4.0988129953,3.7686216642,3.5617811065,3.7610140519,2.0969925009,0.5926766502
64,Forest,7.5257717647,4.0988129953,3.801377963,3.5318162035,3.7811073484,2.0671010036,0.6281379604
65,Forest,7.4154564706,4.0060403713,3.6633766114,3.4020793456,3.8576711685,1.8474167569,0.3014109284
66,Forest,7.3602988235,3.9634852267,3.6256806887,3.4361253345,3.7811073484,1.8661391132,0.3014109284
67,Forest,7.4154564706,3.8882701864,3.5032347347,3.252965751,3.8008048443,1.6143669214,-0.0408219945
68,Forest,7.4706141176,3.9778724317,3.6256806887,3.4020793456,4.1441109071,1.8845173751,0.3014109284
69,Forest,8.5737670588,3.9488880049,3.6997030204,3.4361253345,3.7405087215,2.1950915852,0.7887247043
70,Forest,7.9118752941,3.8882701864,3.5457378857,3.3668332484,3.9458036086,1.8661391132,0.2519024906
71,Forest,8.4634517647,4.0860751707,3.7686216642,3.5908741752,4.0574385015,1.9882127276,0.5177428212
72,Forest,8.0773482353,3.8882701864,3.5032347347,3.252965751,3.607774663,1.5902191147,0.0249795154
73,Forest,8.2979788235,3.9634852267,3.6256806887,3.4020793456,3.911476974,1.902563963,0.3485834725
74,Forest,9.6217623529,4.2402122935,4.0047916338,3.9076983736,4.0111121323,2.4211312361,0.977441167
75,Forest,8.0773482353,4.0468582535,3.801377963,3.673395488,3.911476974,2.2471096912,0.7586043972
76,Forest,8.4082941176,3.9037725936,3.5032347347,3.2923799172,3.7405087215,2.0518133746,0.5177428212
77,Forest,8.2428211765,3.9488880049,3.6997030204,3.5617811065,3.9789909261,2.0821584358,0.3936306505
78,Forest,7.5809294118,3.8725236652,3.4123920037,3.1691466317,3.42672752,1.5902191147,0.0249795154
79,Forest,7.80156,3.8725236652,3.4588445649,3.0776537582,3.6311568673,1.7481558317,0.0867172161
80,Forest,8.2428211765,3.9920555773,3.7347559472,3.5318162035,4.0574385015,1.902563963,0.3014109284
81,Forest,8.1325058824,3.9634852267,3.6633766114,3.5009255951,3.8201218319,1.9377085404,0.3936306505
82,Forest,7.9670329412,3.9634852267,3.6256806887,3.4361253345,3.7405087215,2.1950915852,0.662384713
83,Forest,8.4634517647,3.8402666552,3.4588445649,3.21193414,3.5341570423,1.6609805875,0.0867172161
84,Forest,8.73924,4.0988129953,3.801377963,3.6466379477,3.7610140519,2.2597021527,0.7887247043
85,Forest,8.2428211765,3.8882701864,3.5032347347,3.252965751,3.6540048125,1.7055178494,0.0867172161
86,Forest,8.7943976471,4.0860751707,3.8936625377,3.7248539538,3.8008048443,2.2844211224,0.9270561061
87,Forest,8.73924,4.0060403713,3.801377963,3.5318162035,4.2490984214,2.332098206,0.7586043972
88,Forest,8.6289247059,3.9488880049,3.6997030204,3.3668332484,4.2490984214,2.0044961149,0.3014109284
89,Forest,8.5737670588,4.1360809621,3.801377963,3.673395488,4.2490984214,2.272138014,0.5559114564
90,Forest,9.1253435294,4.2511404798,4.0307460784,3.9684767266,3.8938614309,2.6487080899,1.3771348939
91,Forest,9.6217623529,4.3040587339,4.1512831988,4.079961224,4.223866703,2.7301109459,1.4253736616
92,Forest,8.2428211765,3.9920555773,3.6633766114,3.4690502572,4.0871718408,2.0821584358,0.4780593301
93,Forest,7.9670329412,4.0988129953,3.8330952315,3.6466379477,4.1979818292,2.3551105691,0.7586043972
94,Forest,7.4706141176,3.9778724317,3.6256806887,3.4020793456,3.9951804951,1.8661391132,0.1998147143
95,Forest,7.3602988235,3.8882701864,3.6256806887,3.4020793456,4.1301771893,2.0518133746,0.3936306505
96,Forest,7.6912447059,4.0988129953,3.7686216642,3.6191447109,3.9789909261,2.272138014,0.6281379604
97,Forest,8.4634517647,4.0601021817,3.801377963,3.6191447109,3.911476974,2.3664211616,0.9525659348
98,Forest,8.2428211765,4.0601021817,3.801377963,3.6466379477,3.8008048443,2.3085437753,0.9525659348
99,Forest,7.6912447059,4.0860751707,3.8330952315,3.7737935353,3.8576711685,2.4930207005,1.0485566182
