sex,age,survival,total length,alar extent,weight,skull width,len beak head,humerus,femur,tibiotarsus,len keel
m,a,alive,154,241,24.5,0.59,31.2,0.69,0.67,1.02,0.83
m,a,dead,165,240,26.5,0.61,31,0.74,0.7,1.1,0.85
m,a,dead,160,245,26.1,0.61,32,0.74,0.71,1.11,0.84
m,a,alive,160,252,26.9,0.6,30.8,0.74,0.71,1.18,0.84
m,a,alive,155,243,26.9,0.6,30.6,0.73,0.7,1.15,0.85
m,a,dead,161,249,25.6,0.6,32.3,0.74,0.72,1.13,0.83
m,a,alive,154,245,24.3,0.58,31.7,0.74,0.69,1.15,0.84
m,a,dead,162,246,25.9,0.61,32.3,0.74,0.71,1.14,0.87
m,a,alive,156,247,24.1,0.58,31.5,0.72,0.71,1.13,0.82
m,a,dead,163,250,25.5,0.62,32.5,0.75,0.73,1.2,0.89
m,a,alive,161,253,26.5,0.61,31.8,0.78,0.74,1.14,0.89
m,a,dead,162,247,27.6,0.6,31.8,0.73,0.72,1.11,0.87
m,a,alive,157,251,24.6,0.61,31.1,0.74,0.74,1.15,0.86
m,a,dead,163,246,25.8,0.6,31.4,0.69,0.66,1.07,0.84
m,a,alive,159,247,24.2,0.61,31.4,0.73,0.72,1.13,0.79
m,a,dead,161,246,24.9,0.58,30.5,0.74,0.73,1.14,0.8
m,a,alive,158,247,23.6,0.6,29.8,0.7,0.67,1.08,0.82
m,a,dead,160,242,26,0.6,31,0.75,0.71,1.11,0.8
m,a,alive,158,252,26.2,0.61,32,0.75,0.74,1.15,0.86
m,a,dead,162,246,26.5,0.61,31.5,0.72,0.7,1.09,0.81
m,a,dead,160,249,26,0.6,31.4,0.73,0.69,1.1,0.85
m,a,alive,160,252,26.2,0.62,32,0.74,0.72,1.13,0.89
m,a,dead,161,250,27.1,0.63,31.6,0.74,0.71,1.12,0.85
m,a,alive,162,253,24.8,0.63,32.3,0.77,0.75,1.13,0.92
m,a,alive,161,243,25.4,0.6,31.8,0.72,0.72,1.13,0.89
m,a,dead,162,248,25.1,0.59,31.9,0.74,0.72,1.15,0.84
m,a,alive,160,250,23.7,0.59,29.8,0.73,0.7,1.1,0.82
m,a,dead,165,252,26,0.61,32.3,0.73,0.71,1.15,0.89
m,a,alive,159,247,25.7,0.59,31.4,0.73,0.72,1.14,0.93
m,a,dead,161,243,25.6,0.61,32.5,0.71,0.71,1.12,0.83
m,a,alive,158,253,25.7,0.6,31.9,0.74,0.7,1.15,0.86
m,a,dead,161,244,25,0.6,31.3,0.7,0.69,1.08,0.87
m,a,alive,159,247,26.5,0.61,31.6,0.73,0.71,1.16,0.92
m,a,dead,162,248,24.6,0.59,31,0.71,0.71,1.09,0.84
m,a,dead,164,244,25,0.61,31.2,0.7,0.69,1.07,0.8
