"caloric.treatment","parasite.treatment","fat","rmr","si","li"
"ad lib","control",6.3563,25.28958119,0.245376406,0.0378
"ad lib","control",5.464178669,18.34013744,0.263350435,0.0399
"ad lib","control",8.597365863,23.53734085,0.352349984,0.0548
"ad lib","control",6.055917863,22.703817,0.276491251,0.0483
"ad lib","control",6.666246227,27.00292988,0.288278221,0.0499
"ad lib","control",5.609587921,26.04797355,0.263773116,0.0533
"ad lib","control",9.39557831,28.77295913,0.32617146,0.0452
"ad lib","control",6.089838954,28.14700063,0.275934463,0.0472
"ad lib","control",4.937969225,27.56951023,0.246762837,0.0557
"ad lib","control",8.554717027,24.63073168,0.23114554,0.0494
"ad lib","polygyrus",4.932893584,25.9697419,0.442820909,0.0552
"ad lib","polygyrus",4.904366993,26.63359427,0.501423627,0.0778
"ad lib","polygyrus",4.475547479,24.41210642,0.508911504,0.0665
"ad lib","polygyrus",5.163983636,24.68278221,0.439109801,0.064
"ad lib","polygyrus",6.117395996,32.29953628,0.472480647,0.0592
"ad lib","polygyrus",2.279524957,27.06550044,0.462315032,0.0492
"ad lib","polygyrus",5.262527532,30.69005086,0.583378357,0.0537
"ad lib","polygyrus",5.343756384,26.32930757,0.453046958,0.0504
"ad lib","polygyrus",3.529667738,29.61188202,0.402882701,0.0508
"ad lib","polygyrus",4.057607904,29.69969298,0.435118419,0.0651
"restricted","control",4.070345611,19.82636011,0.254424365,0.0611
"restricted","control",4.526034789,20.00542522,0.246822391,0.0658
"restricted","control",2.518124887,17.93097018,0.303429547,0.0485
"restricted","control",3.559348505,15.06468751,0.240545204,0.0563
"restricted","control",2.277009808,14.09450281,0.315732996,0.0596
"restricted","control",3.480036864,19.49845155,0.243869598,0.0497
"restricted","control",4.288220078,17.22961765,0.24741462,0.0456
"restricted","control",3.255837707,16.47077524,0.236148148,0.0408
"restricted","control",5.026154145,17.20785232,0.242622087,0.0519
"restricted","control",4.284767327,21.17333328,0.229589103,0.0444
"restricted","polygyrus",1.598446582,20.46278654,0.433756661,0.0399
"restricted","polygyrus",0.615589944,10.40175872,0.29487489,0.0318
"restricted","polygyrus",3.393273368,19.80756199,0.392697033,0.0435
"restricted","polygyrus",3.145035559,18.61749144,0.362513781,0.0508
"restricted","polygyrus",1.471440004,20.30169143,0.444522278,0.0506
"restricted","polygyrus",3.352877779,19.48791279,0.416885925,0.0347
"restricted","polygyrus",3.713551874,19.02148061,0.430909995,0.0471
"restricted","polygyrus",2.514921953,17.25578012,0.368249893,0.0404
"restricted","polygyrus",1.884841117,21.81846625,0.381362435,0.0506
"restricted","polygyrus",3.572349371,20.08234175,0.41343086,0.0544
