"","trt.combined","caloric.treatment","parasite.treatment","body.mass","liver","kidney","spleen","heart","lungs","stomach.len","stomach","si.len","si","cecum.len","cecum","li.len","li","fat","lean.mass","lean.organ","rmr"
"1","ad lib.control","ad lib","control",28.57,0.489,0.0896,0.0231,0.0263,0.0427,21,0.043,446,0.245376406,22,0.0233,68,0.0378,6.3563,22.2137,2.014754851,25.28958119
"2","ad lib.control","ad lib","control",26.99,0.4165,0.0838,0.019,0.0291,0.0329,19,0.0391,418,0.263350435,20,0.0129,74,0.0399,5.464178669,23.87541046,2.334924989,18.34013744
"3","ad lib.control","ad lib","control",35.4,0.5748,0.086,0.0164,0.0308,0.0387,18,0.0558,474,0.352349984,25,0.0272,97,0.0548,8.597365863,28.38065857,1.93261273,23.53734085
"4","ad lib.control","ad lib","control",29.83,0.4916,0.0855,0.0211,0.0284,0.0383,15,0.0412,506,0.276491251,23,0.0194,91,0.0483,6.055917863,27.503112806,2.053629793,22.703817
"5","ad lib.control","ad lib","control",31.42,0.5164,0.0836,0.0215,0.0291,0.0364,18,0.0462,464,0.288278221,22,0.0169,85,0.0499,6.666246227,25.71144599,2.467944265,27.00292988
"6","ad lib.control","ad lib","control",31.52,0.49,0.086,0.0222,0.0296,0.0356,20,0.0484,473,0.263773116,21,0.0204,74,0.0533,5.609587921,26.2617832,2.591331868,26.04797355
"7","ad lib.control","ad lib","control",35.9,0.5749,0.1044,0.023,0.0328,0.0406,17,0.0479,494,0.32617146,22,0.0158,87,0.0452,9.39557831,26.39137111,2.283928882,28.77295913
"8","ad lib.control","ad lib","control",31.57,0.5962,0.0867,0.0234,0.0317,0.0417,15,0.0434,493,0.275934463,28,0.0204,79,0.0472,6.089838954,25.80204609,1.673595853,28.14700063
"9","ad lib.control","ad lib","control",30.92,0.5298,0.0834,0.0192,0.0314,0.0349,24,0.0488,491,0.246762837,25,0.0204,81,0.0557,4.937969225,27.72832023,2.01144612,27.56951023
"10","ad lib.control","ad lib","control",31.03,0.4314,0.0946,0.0171,0.0343,0.0366,17,0.0452,443,0.23114554,18,0.0211,66,0.0494,8.554717027,16.25105027,2.560859733,24.63073168
"11","ad lib.polygyrus","ad lib","polygyrus",30.33,0.4802,0.0831,0.0312,0.0335,0.0382,19,0.0521,504,0.442820909,23,0.03,85,0.0552,4.932893584,6.972934562,2.710340228,25.9697419
"12","ad lib.polygyrus","ad lib","polygyrus",33.34,0.6507,0.0952,0.0469,0.031,0.0456,19,0.0466,519,0.501423627,25,0.0333,74,0.0778,4.904366993,6.198658288,2.852496727,26.63359427
"13","ad lib.polygyrus","ad lib","polygyrus",32.34,0.5057,0.0912,0.0366,0.0331,0.0396,21,0.0485,484,0.508911504,24,0.0359,77,0.0665,4.475547479,2.849005,2.955263492,24.41210642
