"period","maxbreadth","bas_hgt","bas_length","nasal_hgt"
"early_predynastic",131,138,89,49
"early_predynastic",125,131,92,48
"early_predynastic",131,132,99,50
"early_predynastic",119,132,96,44
"early_predynastic",136,143,100,54
"early_predynastic",138,137,89,56
"early_predynastic",139,130,108,48
"early_predynastic",125,136,93,48
"early_predynastic",131,134,102,51
"early_predynastic",134,134,99,51
"early_predynastic",129,138,95,50
"early_predynastic",134,121,95,53
"early_predynastic",126,129,109,51
"early_predynastic",132,136,100,50
"early_predynastic",141,140,100,51
"early_predynastic",131,134,97,54
"early_predynastic",135,137,103,50
"early_predynastic",132,133,93,53
"early_predynastic",139,136,96,50
"early_predynastic",132,131,101,49
"early_predynastic",126,133,102,51
"early_predynastic",135,135,103,47
"early_predynastic",134,124,93,53
"early_predynastic",128,134,103,50
"early_predynastic",130,130,104,49
"early_predynastic",138,135,100,55
"early_predynastic",128,132,93,53
"early_predynastic",127,129,106,48
"early_predynastic",131,136,114,54
"late_predynastic",124,138,101,46
"late_predynastic",124,138,101,48
"late_predynastic",133,134,97,48
"late_predynastic",138,134,98,45
"late_predynastic",148,129,104,51
"late_predynastic",126,124,95,45
"late_predynastic",135,136,98,52
"late_predynastic",132,145,100,54
"late_predynastic",133,130,102,48
"late_predynastic",131,134,96,50
"late_predynastic",133,125,94,46
"late_predynastic",133,136,103,53
"late_predynastic",131,139,98,51
"late_predynastic",131,136,99,56
"late_predynastic",138,134,98,49
"late_predynastic",130,136,104,53
"late_predynastic",131,128,98,45
"late_predynastic",138,129,107,53
"late_predynastic",123,131,101,51
"late_predynastic",130,129,105,47
"late_predynastic",134,130,93,54
"late_predynastic",137,136,106,49
"late_predynastic",126,131,100,48
"late_predynastic",135,136,97,52
"late_predynastic",129,126,91,50
"late_predynastic",134,139,101,49
"late_predynastic",131,134,90,53
"late_predynastic",132,130,104,50
"late_predynastic",130,132,93,52
"late_predynastic",135,132,98,54
"late_predynastic",130,128,101,51
"12th_13th_dynasties",137,141,96,52
"12th_13th_dynasties",129,133,93,47
"12th_13th_dynasties",132,138,87,48
"12th_13th_dynasties",130,134,106,50
"12th_13th_dynasties",134,134,96,45
"12th_13th_dynasties",140,133,98,50
"12th_13th_dynasties",138,138,95,47
"12th_13th_dynasties",136,145,99,55
"12th_13th_dynasties",136,131,92,46
"12th_13th_dynasties",126,136,95,56
"12th_13th_dynasties",137,129,100,53
"12th_13th_dynasties",137,139,97,50
"12th_13th_dynasties",136,126,101,50
"12th_13th_dynasties",137,133,90,49
"12th_13th_dynasties",129,142,104,47
"12th_13th_dynasties",135,138,102,55
"12th_13th_dynasties",129,135,92,50
"12th_13th_dynasties",134,125,90,60
"12th_13th_dynasties",138,134,96,51
"12th_13th_dynasties",136,135,94,53
"12th_13th_dynasties",132,130,91,52
"12th_13th_dynasties",133,131,100,50
"12th_13th_dynasties",138,137,94,51
"12th_13th_dynasties",130,127,99,45
"12th_13th_dynasties",136,133,91,49
"12th_13th_dynasties",134,123,95,52
"12th_13th_dynasties",136,137,101,54
"12th_13th_dynasties",133,131,96,49
"12th_13th_dynasties",138,133,100,55
"12th_13th_dynasties",138,133,91,46
"ptolemaic",137,134,107,54
"ptolemaic",141,128,95,53
"ptolemaic",141,130,87,49
"ptolemaic",135,131,99,51
"ptolemaic",133,120,91,46
"ptolemaic",131,135,90,50
"ptolemaic",140,137,94,60
"ptolemaic",139,130,90,48
"ptolemaic",140,134,90,51
"ptolemaic",138,140,100,52
"ptolemaic",132,133,90,53
"ptolemaic",134,134,97,54
"ptolemaic",135,135,99,50
"ptolemaic",133,136,95,52
"ptolemaic",136,130,99,55
"ptolemaic",134,137,93,52
"ptolemaic",131,141,99,55
"ptolemaic",129,135,95,47
"ptolemaic",136,128,93,54
"ptolemaic",131,125,88,48
"ptolemaic",139,130,94,53
"ptolemaic",144,124,86,50
"ptolemaic",141,131,97,53
"ptolemaic",130,131,98,53
"ptolemaic",133,128,92,51
"ptolemaic",138,126,97,54
"ptolemaic",131,142,95,53
"ptolemaic",136,138,94,55
"ptolemaic",132,136,92,52
"ptolemaic",135,130,100,51
"roman",137,123,91,50
"roman",136,131,95,49
"roman",128,126,91,57
"roman",130,134,92,52
"roman",138,127,86,47
"roman",126,138,101,52
"roman",136,138,97,58
"roman",126,126,92,45
"roman",132,132,99,55
"roman",139,135,92,54
"roman",143,120,95,51
"roman",141,136,101,54
"roman",135,135,95,56
"roman",137,134,93,53
"roman",142,135,96,52
"roman",139,134,95,47
"roman",138,125,99,51
"roman",137,135,96,54
"roman",133,125,92,50
"roman",145,129,89,47
"roman",138,136,92,46
"roman",131,129,97,44
"roman",143,126,88,54
"roman",134,124,91,55
"roman",132,127,97,52
"roman",137,125,85,57
"roman",129,128,81,52
"roman",140,135,103,48
"roman",147,129,87,48
"roman",136,133,97,51
