"","Year","BLVU","TUVU","OSPR","BAEAU","BAEAI","BAEAA","NOHA","SSHA","COHA","NOGO","RSHA","BWHA","RTHA","RLHA","SWHA","GOEAU","GOEAI","GOEAA","AMKE","MERL","PEFA","GYRF","TOTRAP"
"1",1934,0,0.321075837742504,0.0777777777777778,0.00524691358024691,0.0428042328042328,0.0182098765432099,0.291402116402116,5.03973544973545,0.725361552028219,0.311878306878307,0.193350970017637,0.0203703703703704,15.0512257495591,0.054320987654321,0,0.0132716049382716,0.0475308641975309,0.0481481481481481,0.045679012345679,0.0222222222222222,0.058641975308642,0.00493827160493827,22.4119576719577
"2",1935,0,0.628750815394651,0.263399652098282,0.0091324200913242,0.0235920852359209,0.0709665144596651,0.226000217438574,6.94300391389432,0.886632963687758,0.445531637312459,0.351837355946945,6.34920634920635,5.44248206131768,0.0102739726027397,0,0,0.0344640139160687,0.0839584692324418,0.197428788867145,0.0302511415525114,0.0225048923679061,0,24.6090834964123
"3",1936,0,0.129203216374269,0.329495614035088,0,0.0641969507101086,0.0444078947368421,0.244569757727652,7.06837406015038,0.760390559732665,0.300386382623225,0.338006474519632,10.2366593567251,5.66914682539683,0.0150898078529657,0,0,0.0278299916457811,0.066389933166249,0.158625730994152,0.0661549707602339,0.0637792397660819,0.00146198830409357,25.6060985797828
"4",1937,0,0.0565686274509804,0.323646125116713,0,0.021797385620915,0.021078431372549,0.20828197945845,6.63544351073763,0.651176470588235,0.0702894491129785,0.217745098039216,8.15023342670401,6.75212418300654,0.00571895424836601,0,0.00130718954248366,0.0318627450980392,0.0648366013071895,0.198249299719888,0.0130718954248366,0.0549112978524743,0,23.4888001867414
"5",1938,0,0.103864734299517,0.251167471819646,0,0.0247584541062802,0.0360305958132045,0.426299746951921,5.13707154359328,0.363641591902461,0.0150966183574879,0.251207729468599,18.1604669887279,4.27372325741891,0,0,0.00161030595813205,0.0177133655394525,0.0316022544283414,0.14621578099839,0.0324074074074074,0.0517310789049919,0,29.3246089256959
"6",1939,0,0.217037037037037,0.299259259259259,0.00148148148148148,0.0422222222222222,0.0525925925925926,0.436111111111111,13.565,1.02259259259259,0.0418518518518519,0.466111111111111,9.04296296296296,9.57962962962963,0.0125925925925926,0,0.00592592592592593,0.0446296296296296,0.0809259259259259,0.287407407407407,0.0877777777777778,0.0705555555555556,0,35.3566666666667
"7",1940,0,0.216880341880342,0.130214692714693,0,0.0119810744810745,0.0466676841676842,0.239565527065527,3.51926638176638,0.24535002035002,0.0158475783475783,0.218340455840456,4.57949226699227,7.18154761904762,0.00605413105413105,0,0,0.025,0.0902421652421652,0.0863603988603989,0.016025641025641,0.036502849002849,0.00142450142450142,16.6769129019129
"8",1941,0,0.244812583668005,0.27694109772423,0.00267737617135208,0.0163989290495315,0.0485609103078983,0.352409638554217,5.30197456492637,0.580789825970549,0.0306894243641232,0.268674698795181,6.92941767068273,6.57861445783133,0.00267737617135208,0,0.00602409638554217,0.018908969210174,0.0581325301204819,0.26619812583668,0.0513052208835341,0.06285140562249,0,21.1476572958501
"9",1942,0,0.12743993993994,0.321771771771772,0.0045045045045045,0.0496996996996997,0.0500750750750751,0.175611325611326,4.9018876018876,0.454874517374517,0.0146396396396396,0.19248712998713,6.71666666666667,3.96159373659374,0,0,0,0.0210585585585586,0.0350975975975976,0.170157657657658,0.0257132132132132,0.0548584298584299,0,17.7873337623338
"10",1946,0,0.0966880341880342,0.28454415954416,0,0.0132122507122507,0.0816951566951567,0.276938339438339,3.51535409035409,0.315883190883191,0.0552706552706553,0.35954415954416,4.28509361009361,3.8740638990639,0,0,0,0.0205128205128205,0.0879273504273504,0.161375661375661,0.0293803418803419,0.0497507122507123,0,13.5873626373626
