Plot type,Distance class,Distance
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,0 to 20 m,10
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,20 to 40 m,30
Burned,40 to 60 m,50
Burned,60 to 80 m,70
Burned,60 to 80 m,70
Burned,60 to 80 m,70
Burned,60 to 80 m,70
Burned,60 to 80 m,70
Burned,60 to 80 m,70
Burned,60 to 80 m,70
Burned,60 to 80 m,70
Burned,80 to 100 m,90
Burned,80 to 100 m,90
Burned,80 to 100 m,90
Burned,80 to 100 m,90
Burned,80 to 100 m,90
Burned,80 to 100 m,90
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,0 to 20 m,10
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,20 to 40 m,30
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
Unburned,40 to 60 m,50
