Plot type,dist
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,10
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,30
Burned,50
Burned,70
Burned,70
Burned,70
Burned,70
Burned,70
Burned,70
Burned,70
Burned,70
Burned,90
Burned,90
Burned,90
Burned,90
Burned,90
Burned,90
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,10
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,30
Unburned,50
Unburned,70
Unburned,70
Unburned,70
Unburned,70
Unburned,70
Unburned,70
Unburned,70
Unburned,70
Unburned,90
Unburned,90
Unburned,90
Unburned,90
Unburned,90
Unburned,90
