"","nest.id","variable","value"
"1","GCG1","occ96",1
"2","GCG10","occ96",0
"3","GCG11","occ96",1
"4","GCG12","occ96",1
"5","GCG13","occ96",0
"6","GCG14","occ96",1
"7","GCG15","occ96",1
"8","GCG16","occ96",1
"9","GCG17","occ96",1
"10","GCG18","occ96",1
"11","GCG19","occ96",1
"12","GCG2","occ96",1
"13","GCG20","occ96",1
"14","GCG21","occ96",1
"15","GCG22","occ96",1
"16","GCG23","occ96",1
"17","GCG24","occ96",1
"18","GCG25","occ96",1
"19","GCG27","occ96",1
"20","GCG28","occ96",1
"21","GCG3","occ96",1
"22","GCG30","occ96",1
"23","GCG31","occ96",1
"24","GCG32","occ96",1
"25","GCG33","occ96",1
"26","GCG34","occ96",1
"27","GCG35","occ96",1
"28","GCG36","occ96",1
"29","GCG37","occ96",1
"30","GCG38","occ96",1
"31","GCG39","occ96",1
"32","GCG4","occ96",1
"33","GCG40","occ96",1
"34","GCG41","occ96",1
"35","GCG42","occ96",1
"36","GCG43","occ96",1
"37","GCG44","occ96",1
"38","GCG45","occ96",1
"43","GCG5","occ96",1
"51","GCG6","occ96",1
"62","GCG7","occ96",1
"74","GCG8","occ96",0
"84","GCG9","occ96",1
"134","MP2","occ96",1
"135","MP9","occ96",1
"152","TG1","occ96",1
"153","TG10","occ96",1
"162","TG11","occ96",1
"163","TG12","occ96",1
"164","TG13","occ96",1
"165","TG14","occ96",1
"166","TG15","occ96",1
"167","TG16","occ96",1
"168","TG2","occ96",1
"169","TG22","occ96",1
"176","TG5","occ96",1
"177","TG6","occ96",1
"178","TG7","occ96",1
"179","TG8","occ96",1
"180","TG9","occ96",1
"369","GCG1","occ97",1
"370","GCG10","occ97",1
"371","GCG11","occ97",1
"372","GCG12","occ97",1
"373","GCG13","occ97",0
"374","GCG14","occ97",1
"375","GCG15","occ97",1
"376","GCG16","occ97",1
"377","GCG17","occ97",1
"378","GCG18","occ97",1
"379","GCG19","occ97",1
"380","GCG2","occ97",1
"381","GCG20","occ97",1
"382","GCG21","occ97",1
"383","GCG22","occ97",1
"384","GCG23","occ97",1
"385","GCG24","occ97",0
"386","GCG25","occ97",1
"387","GCG27","occ97",0
"388","GCG28","occ97",0
"389","GCG3","occ97",1
"390","GCG30","occ97",1
"391","GCG31","occ97",0
"392","GCG32","occ97",0
"393","GCG33","occ97",1
"394","GCG34","occ97",1
"395","GCG35","occ97",1
"396","GCG36","occ97",0
"397","GCG37","occ97",1
"398","GCG38","occ97",1
"399","GCG39","occ97",1
"400","GCG4","occ97",1
"401","GCG40","occ97",0
"402","GCG41","occ97",0
"403","GCG42","occ97",1
"404","GCG43","occ97",1
"405","GCG44","occ97",1
"406","GCG45","occ97",1
"407","GCG46","occ97",1
"408","GCG47","occ97",1
"409","GCG48","occ97",1
"410","GCG49","occ97",1
"411","GCG5","occ97",1
"412","GCG50","occ97",1
"413","GCG51","occ97",1
"414","GCG54","occ97",1
"415","GCG55","occ97",1
"416","GCG56","occ97",1
"417","GCG57","occ97",1
"418","GCG58","occ97",0
"419","GCG6","occ97",1
"420","GCG60","occ97",1
"421","GCG61","occ97",1
"422","GCG62","occ97",1
"423","GCG63","occ97",0
"424","GCG64","occ97",1
"425","GCG65","occ97",1
"426","GCG66","occ97",1
"427","GCG67","occ97",1
"428","GCG68","occ97",1
"429","GCG69","occ97",1
"430","GCG7","occ97",1
"431","GCG70","occ97",1
"432","GCG71","occ97",1
"433","GCG72","occ97",1
"442","GCG8","occ97",0
"452","GCG9","occ97",1
"469","KA1","occ97",1
"470","KA13","occ97",1
"471","KA14","occ97",1
"472","KA17","occ97",1
"473","KA19","occ97",1
"474","KA2","occ97",1
"475","KA20","occ97",1
"476","KA21","occ97",0
"477","KA22","occ97",1
"478","KA23","occ97",1
"479","KA24","occ97",1
"480","KA25","occ97",1
"481","KA26","occ97",0
"482","KA27","occ97",1
"483","KA29","occ97",1
"484","KA3","occ97",1
"485","KA30","occ97",1
"486","KA32","occ97",1
"487","KA33","occ97",1
"488","KA34","occ97",1
"489","KA36","occ97",1
"490","KA37","occ97",1
"491","KA4","occ97",1
"492","KA42","occ97",1
"493","KA45","occ97",1
"494","KA48","occ97",0
"495","KA49","occ97",1
"496","KA5","occ97",1
"497","KA50","occ97",0
"498","KA6","occ97",1
"499","KA7","occ97",1
"500","KA8","occ97",1
"501","KA9","occ97",1
"502","MP2","occ97",1
"503","MP9","occ97",1
"504","PF1","occ97",1
"506","PF3","occ97",1
"507","PF4","occ97",1
"508","PF5","occ97",1
"509","PF6","occ97",1
"510","PF7","occ97",1
"520","TG1","occ97",0
"521","TG10","occ97",1
"522","TG100","occ97",1
"523","TG101","occ97",1
"524","TG102","occ97",0
"525","TG103","occ97",1
"526","TG104","occ97",1
"527","TG105","occ97",1
"528","TG106","occ97",1
"529","TG107","occ97",1
"530","TG11","occ97",1
"531","TG12","occ97",1
"532","TG13","occ97",1
"533","TG14","occ97",1
"534","TG15","occ97",1
"535","TG16","occ97",0
"536","TG2","occ97",1
"537","TG22","occ97",1
"538","TG23","occ97",1
"539","TG24","occ97",1
"540","TG25","occ97",1
"541","TG26","occ97",1
"542","TG27","occ97",1
"543","TG28","occ97",1
"544","TG5","occ97",1
"545","TG6","occ97",1
"546","TG7","occ97",1
"547","TG8","occ97",1
"548","TG9","occ97",1
"737","GCG1","occ98",0
"738","GCG10","occ98",1
"739","GCG11","occ98",1
"740","GCG12","occ98",1
"741","GCG13","occ98",0
"742","GCG14","occ98",0
"743","GCG15","occ98",0
"744","GCG16","occ98",0
"745","GCG17","occ98",0
"746","GCG18","occ98",0
"747","GCG19","occ98",0
"748","GCG2","occ98",1
"749","GCG20","occ98",0
"750","GCG21","occ98",0
"751","GCG22","occ98",0
"752","GCG23","occ98",0
"753","GCG24","occ98",0
"754","GCG25","occ98",1
"755","GCG27","occ98",1
"756","GCG28","occ98",1
"757","GCG3","occ98",0
"758","GCG30","occ98",1
"759","GCG31","occ98",1
"760","GCG32","occ98",0
"761","GCG33","occ98",1
"762","GCG34","occ98",0
"763","GCG35","occ98",0
"764","GCG36","occ98",0
"765","GCG37","occ98",0
"766","GCG38","occ98",0
"767","GCG39","occ98",0
"768","GCG4","occ98",1
"769","GCG40","occ98",1
"770","GCG41","occ98",0
"771","GCG42","occ98",0
"772","GCG43","occ98",1
"773","GCG44","occ98",1
"774","GCG45","occ98",1
"775","GCG46","occ98",0
"776","GCG47","occ98",0
"777","GCG48","occ98",0
"778","GCG49","occ98",1
"779","GCG5","occ98",0
