SPP	POP	Lat	Long	Treatment	No. Matrices	StartYr	EndYr	TestYr	N_EndYr	N_TestYr
ARFE	ARFE_Charleys	46.25	-113.98333	NA	6	1987	1993	2009	[5 37 11 46]	[2 4 3 19]
ARFE	ARFE_Lime	45.4	-112.733333	NA	4	1989	1993	2009	[225 268 31 140]	[70 230 57 169]
ARFE	ARFE_Vipond	45.65	-112.933333	NA	4	1989	1993	2009	[124 248 113 118]	[15 107 66 27]
ASSC	ASSC_haynes	45	-113.683333	NA	11	1988	1999	2008	[30 92 25 4 2]	[NA 13 3 15 18]
ASSC	ASSC_mcdevi	45.883333	-113.683333	NA	9	1990	1999	2008	[28 53 35 4 3]	[NA 4 1 10 45]
ASSC	ASSC_sheep	45.066667	-113.016667	NA	11	1988	1999	2008	[27 90 66 27 65]	[NA 59 9 74 8]
ASTY	ASTY_10	45.162175	-121.310101	NA	7	1991	1998	2008	[86 87 78 39 3]	[123 181 49 11 0]
ASTY	ASTY_13	45.153155	-121.322459	NA	7	1991	1998	2008	[315 229 179 75 54]	[40 69 73 34 5]
ASTY	ASTY_25	45.231896	-121.177458	NA	7	1991	1998	2008	[83 100 169 56 12]	[151 145 111 21 2]
ASTY	ASTY_4	45.159652	-121.310109	NA	7	1991	1998	2008	[29 57 27 12 6]	[15 26 30 2 0]
ASTY	ASTY_41	45.243853	-121.095479	NA	7	1991	1998	2008	[32 28 32 30 26]	[18 59 39 1 0]
CIPI	CIPI_1	41.62267694	-87.20910788	NA	10	1988	1998	2009	[439 100 11]	[23 30 0]
CIPI	CIPI_2	41.67438637	-87.01802731	NA	10	1988	1998	2009	[7 13 1]	[0 3 3]
CIPI	CIPI_3	41.62078414	-87.25034416	NA	10	1988	1998	2009	[33 56 8]	[24 53 6]
CIPI	CIPI_4	42.42345652	-87.8053093	NA	5	1998	2003	2009	[119 6 24 28 27 13]	[50 5 39 29 16 17]
CYFA	CYFA_3	42.3452328	-123.5236593	NA	3	1999	2002	2007	[56 88 45 11]	[15 37 71 NA]
CYFA	CYFA_4	42.2586062	-123.1708943	NA	3	1999	2002	2007	[29 98 19 44]	[30 40 115 NA]
CYFA	CYFA_5	42.3456831	-122.4638207	NA	3	1999	2002	2007	[35 90 21 30]	[16 29 45 NA]
DIFR	DIFR_0	27.15631057	-81.35754611	long-unburned	7	1988	1995	2008	[NA 40 6 1 9 19]	[NA 18 6 10 0 0]
DIFR	DIFR_10	27.15939306	-81.355978	long-unburned	7	1988	1995	2008	[NA 0 6 2 6 5]	[NA 11 1 4 1 5]
DIFR	DIFR_11	27.15785182	-81.35676207	long-unburned	5	1992	1997	2008	[NA 6 13 7 6 6]	[NA 5 1 5 0 2]
DIFR	DIFR_19	27.15785182	-81.35676207	long-unburned	10	1990	2000	2008	[NA 1 6 2 1 0]	[NA 43 7 4 3 7]
DIFR	DIFR_2	27.15785182	-81.35676207	long-unburned	12	1988	2000	2008	[NA 8 17 4 10 6]	[NA 18 20 11 7 8]
DIFR	DIFR_4	27.15785182	-81.35676207	long-unburned	9	1988	1997	2008	[NA 3 11 3 2 0]	[NA 3 1 8 0 3]
ERCU	ERCU_54	27.15785182	-81.35676207	long-unburned	5	1990	1995	2007	[NA 0 17 5 2 10]	[NA 0 0 1 0 0]
ERCU	ERCU_57	27.13750147	-81.36064775	long-unburned	5	1995	2000	2007	[NA 3 55 15 37 21]	[NA 6 9 4 9 4]
ERCU	ERCU_70	27.13061391	-81.35652632	long-unburned	5	1990	1995	2007	[NA   0   2   0   1   1]	[NA 0 0 0 0 0]
ERCU	ERCU_72	27.12925255	-81.35782368	long-unburned	8	1990	1998	2007	[NA   23    8    1    0    0]	[NA 0 0 0 3 1]
ERCU	ERCU_85	27.1271343	-81.3586002	long-unburned	9	1990	1999	2007	[NA   3   58    2    5    3]	[NA 0 3 0 0 0]
ERCU	ERCU_91	27.12275551	-81.3619937	long-unburned	8	1990	1998	2007	[NA 0 11 1 4 1]	[NA 1 1 0 0 0]
GEPN	GEPN_DW3	52.810708	6.392686	unmanaged	4	1987	1991	2009	[22 9 38 35 0]	[0 0 0 0 NA]
GEPN	GEPN_LOCH	52.156653	6.344814	litter removal/mowing+hay removal	3	1988	1991	2009	[11 9 62 33 4]	[0 4 7 38 NA]
HARA	HARA_1in	44.4125	-117.320934	not grazed	8	1991	1999	2009	[617 169 185 114]	[0 152 132 128]
HARA	HARA_1out	44.4125	-117.320934	grazed	8	1991	1999	2009	[250 82 80 34]	[0 89 70 151]
HARA	HARA_2in	44.411729	-117.310928	not grazed	8	1991	1999	2009	[52 23 30 57]	[0 7 6 38]
HARA	HARA_2out	44.411729	-117.310928	grazed	8	1991	1999	2009	[31 29 33 4]	[0 5 0 2]
HARA	HARA_3in	44.479266	-117.326394	not grazed	8	1991	1999	2009	[91 47 33 15]	[0 5 4 10]
HARA	HARA_3out	44.479266	-117.326394	grazed	8	1991	1999	2009	[122 29 88 25]	[0 7 7 5]
HARA	HARA_4in	44.475962	-117.333591	not grazed	8	1991	1999	2009	[14 23 16 9]	[0 54 4 22]
HARA	HARA_4out	44.475962	-117.333591	grazed	8	1991	1999	2009	[21 35 19 2]	[0 96 8 26]
HOCO	HOCO_1	44.142314	-123.296134	NA	6	1993	1999	2009	[29 161 68 55 70 75]	[NA NA NA NA NA 329]
HYCU	HYCU_29	27.163275	-81.364822	long-unburned	5	1999	2004	2007	[NA 25 12 25 36 16]	[NA 21 4 9 26 36]
HYCU	HYCU_59	27.135472	-81.364989	long-unburned	5	1994	1999	2007	[NA 8 5 31 20 0]	[NA 2 0 43 67 11]
HYCU	HYCU_67	27.133578	-81.358439	long-unburned	5	1994	1999	2007	[NA 15 21 38 36 3]	[NA 6 5 11 45 22]
HYCU	HYCU_87	27.124278	-81.352397	long-unburned	5	1994	1999	2007	[NA21 25 35 42 2]	[NA 0 8 13 13 0]
HYCU	HYCU_88	27.129508	-81.361717	long-unburned	5	1994	1999	2007	[NA 16 16 41 4 0]	[NA 0 0 0 0 0]
HYCU	HYCU_91	27.122681	81.361886	long-unburned	5	1994	1999	2007	[NA 10 5 37 21 7]	[NA 0 3 9 21 17]
LAVE	LAVE_1	58.6	17.4	NA	3	1988	1991	2009	[NA NA 74 65 41 52 15]	[NA NA 2 10 6 1 NA]
LAVE	LAVE_11	58.1	15.4	NA	2	1989	1991	2009	[NA NA 21 31 19 62 3]	[NA NA 13 13 13 22 NA]
LAVE	LAVE_2	58.6	17.4	NA	3	1988	1991	2009	[NA NA 18 12 15 24 4]	[NA NA 2 17 24 5 NA]
LAVE	LAVE_3	58.6	17.4	NA	3	1988	1991	2009	[NA NA 56 52 38 37 15]	[NA NA 1 15 19 5 NA]
LAVE	LAVE_4	58.6	17.4	NA	3	1988	1991	2009	[NA NA 47 42 40 17 18]	[NA NA 9 23 3 1 NA]
LAVE	LAVE_5	58.6	17.4	NA	3	1988	1991	2009	[NA NA 36 34 11 13 11]	[NA NA 1 1 9 2 NA]
LAVE	LAVE_6	58.6	17.4	NA	3	1988	1991	2009	[NA NA 35 13 16 40 0]	[NA NA 11 35 21 1 NA]
LAVE	LAVE_7	58.6	17.4	NA	3	1988	1991	2009	[NA NA 19 77 31 2 2]	[NA NA 1 18 4 0 NA]
LAVE	LAVE_8	58.6	17.3	NA	3	1988	1991	2009	[NA NA 136 170 33 16 20]	[NA NA 28 55 3 0 NA]
LAVE	LAVE_9	59.2	17.4	NA	3	1988	1991	2009	[NA NA 120 81 75 87 10]	[NA NA 27 125 25 2 NA]
LISC	LISC_0	41.51937458	-87.90950775	no bluestem cover	5	1995	2000	2008	[975 1046 22 55 59]	[618 979 86 36 NA]
LISC	LISC_1	41.51937458	-87.90950775	sparse bluestem cover	5	1995	2000	2008	[115 167 3 14 24]	[17 76 5 1 NA]
LISC	LISC_2	41.51937458	-87.90950775	dense bluestem cover	5	1995	2000	2008	[7 20 0 2 7]	[8 5 1 0 NA]
LOCO	LOCO_middle	42.098409	-123.641071	NA	5	1993	1998	2009	[34 252 145 56 33 10]	[61 72 83 83 17 1]
LOCO	LOCO_south	42.095883	-123.640817	NA	5	1993	1998	2009	[19 76 71 17 3 2]	[24 25 30 22 9 1]
NEMA	NEMA_1	18.250556	-97.654444	NA	5	1997	2002	2009	[NA 8 34 41 50 25 36 35 12 15]	[NA 4 31 32 47 31 45 24 18 15]
PHEM	PHEM_1	38.8985	-77.0378	NA	5	1999	2004	2009	[NA 221 174 52 5 1 51]	[NA 0 114 14 1 1 32]
PHIN	PHIN_1	38.8985	-77.0378	NA	5	1999	2004	2009	[NA 66 291 166 63 56 55]	[NA 0 295 157 28 37 46]
SIAC	SIAC_CC	61.48746	-142.84068	NA	5	1995	2000	2009	[NA NA 6 32 31 23 6 25 26 19 18 17]	[NA NA 3 19 33 32 17 25 29 24 15 13]
SIAC	SIAC_PA	61.48917	-142.8215	NA	5	1995	2000	2009	[NA NA 153 55 16 28 12 31 31 30 16 2]	[NA NA 32 28 22 16 19 18 24 30 13 2]
SIAC	SIAC_RG	61.48722	-142.84708	NA	5	1995	2000	2009	[NA NA 5 12 3 11 18 21 37 32 30 14]	[NA NA 0 3 5 9 21 31 31 28 35 15]
SIAC	SIAC_RI	61.49036	-142.81453	NA	5	1995	2000	2009	[NA NA 140 110 47 44 55 48 40 38 12 10]	[NA NA 77 96 48 41 59 35 44 29 14 10]
SISP	SISP_1	48.98	-115.06	NA	12	1987	1999	2009	[2 60 12 27]	[1 10 11 NA]
TRGR	TRGR_DC	80.43333	41.51667	NA	4	1998	2002	2010	[NA 0 28 35 69 47]	[NA 47 10 24 22 62]
TRGR	TRGR_DH	80.03333	41.71667	NA	3	1999	2002	2010	[NA 0 5 40 23 21]	[NA 3 7 24 21 7]
TRGR	TRGR_DR	80.23333	41.66667	NA	3	1999	2002	2010	[NA 0 6 14 12 42]	[NA 0 10 9 18 42]
TRGR	TRGR_EL	80.08333	41.78333	NA	3	1999	2002	2010	[NA 0 6 62 66 13]	[NA 0 1 44 48 13]
TRGR	TRGR_FX	80.2	41.8	NA	3	1999	2002	2010	[NA 0 5 57 38 13]	[NA 20 53 40 45 33]
TRGR	TRGR_GT	80	41.4	NA	3	1999	2002	2010	[NA 0 5 51 39 6]	[NA 0 11 44 65 3]
TRGR	TRGR_LR	80.05	41.73333	NA	3	1999	2002	2010	[NA 0 33 81 16 13]	[NA 0 3 10 5 0]
TRGR	TRGR_RH	80.4	41.48333	NA	4	1998	2002	2010	[NA 0 13 43 30 57]	[NA 4 11 48 69 15]
TRGR	TRGR_RM	79.96667	41.33333	NA	3	1999	2002	2010	[NA 0 1 23 7 4]	[NA 0 2 10 6 1]
TRGR	TRGR_TW	80.35	41.6	NA	4	1998	2002	2010	[NA 0 7 53 27 1]	[NA 0 15 72 26 0]
TRGR	TRGR_WC	80.06667	41.68333	NA	3	1999	2002	2010	[NA 0 7 24 33 41]	[NA 9 13 10 37 64]
TRGR	TRGR_WH	79.95	41.75	NA	3	1999	2002	2010	[NA 0 10 27 35 9]	[NA 14 22 39 77 15]
