SPP	Genus	Species	Family	Literature	Lead	Contact	Collaborators	Conservation status	Time step	study dates	No. of Pops	Habitat description	Biome	Life span	Life form	Iteroparous	Seed bank	Clonal	Number of stages	Unobserved stages
ARFE	Arabis	fecunda	Brassicaceae	Lesica and Shelly 1995	Peter Lesica	peter.lesica@mso.umt.edu	none	Montana species of concern	annual	"1987(89)-1993, 2009"	3	sagebrush steppe	Temperate shrubland	perennial	herbaceous	iteroparous	unknown	no	4	0
ASSC	Astragalus	scaphoides	Fabaceae	"Lesica 1995, Lesica & Crone 2004"	Elizabeth Crone 	ecrone@fas.harvard.edu	Peter Lesica	Montana rare	annual	1986-2009	3	sagebrush steppe	Temperate shrubland	perennial	herbaceous	iteroparous	yes	no	5	1
ASTY	Astragalus	tyghensis	Fabaceae	Kaye and Pyke 2003	Thomas N Kaye	tom@appliedeco.org	none	USFWS Species of Concern	annual	"1991-1998, 2008"	5	"oak woodland, sagebrush steppe"	Temperate shrubland	perennial	herbaceous	iteroparous	unknown	no	5	0
CIPI	Cirsium	pitcheri	Asteraceae	Bell et al. 2003	Tim Bell	tbell22@csu.edu	"Marlin Bowles, Kathryn McEachern & Noel Pavlovic"	Federal Threatened	annual	1998-2009	4	sand dunes	Temperate shrubland	perennial	herbaceous	semelparous	yes	no	3(6)	0
CYFA	Cypripedium	fasciculatum	Orchidaceae	Thorpe et al. 2007	Amanda Stanley	amanda@appliedeco.org	"Andrea Thorpe, Tom Kaye"	USFWS Species of concern	annual	1999-2007	3	coniferous forest	Temperate coniferous forest	perennial	herbaceous	iteroparous	yes	no	4	1
DIFR	Dicerandra	 frutescens	Lamiaceae	"Menges et al. 2006, Menges 2008"	Eric Menges	emenges@archbold-station.org	Pedro Quintana-Ascencio 	Federal endangered	annual	1988-2008	6	Florida scrub	Subtropical shrubland	perennial	herbaceous	iteroparous	yes	no	6	1
ERCU	Eryngium 	cuneifolium	Apiaceae	Menges & Quintana-Ascencio 2004	Eric Menges	emenges@archbold-station.org	Pedro Quintana-Ascencio 	Federal endangered	annual	1990-2008	6	Florida scrub	Subtropical shrubland	perennial	herbaceous	iteroparous	yes	no	6	1
GEPN	Gentiana	pneumonanthe	Gentianaceae	Oostermeijer et al. 1996 	Gerard Oostermeijer	j.g.b.oostermeijer@uva.nl	"Hans den Nijs, Sheila Luijten, Albertine Ellis-Adam, Edwin de Boer, Marc Brugman"	Dutch Red List	annual	"1987(88)-1993, 2009"	7	"wet heathlands, hay meadows "	Temperate grassland/shrubland	perennial	herbaceous	iteroparous	no	no	4	2
HARA	Haplopappus	radiatus	Asteraceae	Kaye and Pyke 2003	Thomas N Kaye	tom@appliedeco.org	none	Oregon Biological Information Center List 1	annual	"1992-1999, 2009"	4	sagebrush	Temperate shrubland	perennial	herbaceous	iteroparous	no	no	4	0
HOCO	Horkelia	congesta	Rosaceae	Kaye and Benfield 2004	Thomas N Kaye	tom@appliedeco.org	none	USFWS Species of Concern	annual	"1994-1999, 2009"	1	prairie	Temperate grassland	perennial	herbaceous	iteroparous	no	no	6	0
HYCU	Hypericum	 cumulicola	Hypericaceae	Quintana-Ascencio et al. 2003	Pedro Quintana-Ascencio	Pedro.Quintana-Ascencio@ucf.edu	Eric S Menges	Federal endangered	annual	1994-2007	6	Florida scrub	Subtropical shrubland	perennial	herbaceous	iteroparous	yes	no	6	1
LAVE	Lathyrus 	vernus	Fabaceae	"Ehrlén 1995a, b"	Johan Ehrlén	ehrlen@botan.su.se	none	rare	annual	"1988-1991, 2009"	10	deciduous forest	Temperate broadleaf forest	perennial	herbaceous	iteroparous	yes	no	7	2
LISC	Liatris	scariosa	Asteraceae	Bowles et al. 1998	Tim Bell	tbell22@csu.edu	Marlin Bowles	Illinois threatened	annual	"1995-2000, 2008"	1	prairie	Temperate grassland	perennial	herbaceous	iteroparous	yes	no	5	0
LOCO	Lomatium	cookii	Apiaceae	Kaye and Pyke 2003	Thomas N Kaye	tom@appliedeco.org	none	Federal threatened	annual	"1994-1999, 2009"	2	serpentine grassland	Temperate grassland	perennial	herbaceous	iteroparous	no	no	6	0
NEMA	Neobuxbaumia	macrocephala	Cactaceae	"Esparza-Olguin et al. 2002, Esparza-Olguin et al. 2005, Valverde & Esparza-Olguin 2009"	Teresa Valverde	teresa.valverde@ciencias.unam.mx		rare	annual	"1997-2002, 2009"	1	semi-desert	Xeric shrubland	perennial	woody	iteroparous	no	no	10	1
PHEM	Phyllanthus	emblica	Phyllanthaceae	Unpubished	Tamara Ticktin	ticktin@hawaii.edu	R. Ganesan	NA	annual	"1999-2004, 2009"	1	tropical dry forest	Tropical dry forest	perennial	woody	iteroparous	yes	no	7	1
PHIN	Phyllanthus	indofischeri	Phyllanthaceae	Unpubished	Tamara Ticktin	ticktin@hawaii.edu	R. Ganesan	NA	annual	"1999-2004, 2009"	1	tropical scrub forest	Tropical scrubland	perennial	woody	iteroparous	yes	no	7	1
SIAC	Silene	acaulis	Caryophyllaceae	Morris & Doak. 2005	Bill Morris	wfmorris@duke.edu	Daniel F. Doak	NA	annual	"1995-2000, 2009"	4	alpine tundra	Alpine tundra	perennial	herbaceous	iteroparous	yes	no	12	1
SISP	Silene	spaldingii	Caryophyllaceae	"Lesica 1997, Lesica & Crone 2007"	Peter Lesica	peter.lesica@mso.umt.edu	Elizabeth Crone	Federal threatened	annual	1987-2009	1	grassland	Temperate grassland	perennial	herbaceous	iteroparous	unknown	no	4	1
TRGR	Trillium	grandiflorum	Orchidaceae	"Knight 2003, 2004, Knight et al. 2009"	Tiffany Knight	tknight@biology2.wustl.edu	none	NA	annual	"1998(99)-2002, 2010"	12	deciduous forest	Temperate broadleaf forest	perennial	herbaceous	iteroparous	no	no	6	1
