SPP	POP	YR	Mx	Tmx	Nx
ARFE	ARFE_Charleys	1987	[0.0769230769230769 0.127659574468085 0.05 0.103448276; 0.346153846153846 0.638297872340426 0.05 0.499999999586207; 0.115384615384615 0 0.75 0.500000000206897; 0.0384615384615385 0.0425531914893617 0 0.172413793103448]	[0.0769230769230769 0.127659574468085 0.05 0; 0.346153846153846 0.638297872340426 0.05 0.310344827586207; 0.115384615384615 0 0.75 0.344827586206897; 0.0384615384615385 0.0425531914893617 0 0.172413793103448]	[26 47 20 58]
ARFE	ARFE_Charleys	1988	[0.133333333333333 0 0 1.61538461492308; 0.0666666666666667 0.347826086956522 0.0638297872340425 0.92307692276923; 0.0666666666666667 0.0579710144927536 0.340425531914894 0.0769230769230769; 0 0.391304347826087 0.404255319148936 0.538461538538462]	[0.133333333333333 0 0 0.0769230769230769; 0.0666666666666667 0.347826086956522 0.0638297872340425 0.230769230769231; 0.0666666666666667 0.0579710144927536 0.340425531914894 0.0769230769230769; 0 0.391304347826087 0.404255319148936 0.461538461538462]	[15 69 47 13]
ARFE	ARFE_Charleys	1989	[0 0 0 0.377358491; 0.391304347826087 0.375 0.136363636363636 0.509433962113208; 0.0434782608695652 0.025 0.181818181818182 0.132075471584906; 0.0869565217391304 0.325 0.409090909090909 0.754716981490566]	[0 0 0 0; 0.391304347826087 0.375 0.136363636363636 0.0754716981132075; 0.0434782608695652 0.025 0.181818181818182 0.0566037735849057; 0.0869565217391304 0.325 0.409090909090909 0.660377358490566]	[23 40 22 53]
ARFE	ARFE_Charleys	1990	[0.315789473684211 0.0555555555555556 0.0769230769230769 0.523809524; 0.157894736842105 0.555555555555556 0 0.476190475714286; 0 0.0740740740740741 0.538461538461538 0.206349206730159; 0 0.148148148148148 0.153846153846154 0.285714285714286]	[0.315789473684211 0.0555555555555556 0.0769230769230769 0; 0.157894736842105 0.555555555555556 0 0.285714285714286; 0 0.0740740740740741 0.538461538461538 0.158730158730159; 0 0.148148148148148 0.153846153846154 0.285714285714286]	[19 54 13 63]
ARFE	ARFE_Charleys	1991	[0.5 0.0153846153846154 0 0.357142856714286; 0.19047619047619 0.507692307692308 0 0.357142856714286; 0 0.0615384615384615 0.625 0.178571428571429; 0 0.276923076923077 0.25 0.285714285714286]	[0.5 0.0153846153846154 0 0.0357142857142857; 0.19047619047619 0.507692307692308 0 0.285714285714286; 0 0.0615384615384615 0.625 0.178571428571429; 0 0.276923076923077 0.25 0.285714285714286]	[42 65 24 28]
ARFE	ARFE_Charleys	1992	[0.0967741935483871 0 0 0.03125; 0.354838709677419 0.352941176470588 0 0.25; 0 0.0196078431372549 0.25 0.125; 0 0.196078431372549 0.25 0.9375]	[0.0967741935483871 0 0 0; 0.354838709677419 0.352941176470588 0 0.09375; 0 0.0196078431372549 0.25 0.03125; 0 0.196078431372549 0.25 0.65625]	[31 51 24 32]
ARFE	ARFE_Lime	1989	[0.19047619047619 0.0217391304347826 0.0227272727272727 8.428571429; 0.511904761904762 0.247826086956522 0.0227272727272727 8.571428571; 0.0357142857142857 0.0695652173913043 0.340909090909091 1.285714286; 0.0357142857142857 0.495652173913044 0.386363636363636 3.66666666666667]	[0.19047619047619 0.0217391304347826 0.0227272727272727 0; 0.511904761904762 0.247826086956522 0.0227272727272727 0; 0.0357142857142857 0.0695652173913043 0.340909090909091 0; 0.0357142857142857 0.495652173913044 0.386363636363636 0.666666666666667]	[84 230 44 6]
ARFE	ARFE_Lime	1990	[0.160493827160494 0.00625 0.0227272727272727 0.679245283232704; 0.555555555555556 0.5125 0.0454545454545455 0.635220126169811; 0.0493827160493827 0.05625 0.25 0.132075471408805; 0.0123456790123457 0.26875 0.522727272727273 0.358490565805031]	[0.160493827160494 0.00625 0.0227272727272727 0.0440251572327044; 0.555555555555556 0.5125 0.0454545454545455 0.113207547169811; 0.0493827160493827 0.05625 0.25 0.050314465408805; 0.0123456790123457 0.26875 0.522727272727273 0.314465408805031]	[81 160 44 159]
ARFE	ARFE_Lime	1991	[0.227642276422764 0.00869565217391304 0 0.674796748; 0.382113821138211 0.308695652173913 0.0222222222222222 0.47095462916129; 0.008130081300813 0.0304347826086956 0.311111111111111 0.0812352481290323; 0.040650406504065 0.421739130434783 0.4 0.412208234774193]	[0.227642276422764 0.00869565217391304 0 0; 0.382113821138211 0.308695652173913 0.0222222222222222 0.0725806451612903; 0.008130081300813 0.0304347826086956 0.311111111111111 0.00806451612903226; 0.040650406504065 0.421739130434783 0.4 0.298387096774194]	[123 230 45 124]
ARFE	ARFE_Lime	1992	[0.238938053097345 0.0274725274725275 0.03125 1.12996989564912; 0.407079646017699 0.456043956043956 0 0.839129381461988; 0.0176991150442478 0.021978021978022 0.46875 0.0589639776491228; 0.0176991150442478 0.28021978021978 0.3125 0.450707637362573]	[0.238938053097345 0.0274725274725275 0.03125 0.0175438596491228; 0.407079646017699 0.456043956043956 0 0.0935672514619883; 0.0176991150442478 0.021978021978022 0.46875 0.0175438596491228; 0.0176991150442478 0.28021978021978 0.3125 0.415204678362573]	[111 180 32 171]
