"","year","AMAV","AMCO","AMPI","AMWI","BBPL","BCNH","BEKI","BEVI","BNST","BOGU","BRAC","BRPE","BUFF","BVSH","BWTE","CAGU","CANG","CANV","CATE","CITE","COLO","DCCO","DOSP","DUNL","EAGR","FOTE","GADW","GBHE","GREG","GRHE","GRYE","GWTE","HEEG","HOGR","HOME","KILL","LBCU","LESA","LESC","LETE","LEYE","MAGO","MALL","MAWR","NOHA","NOPI","NSHO","OSPR","PALO","PBGR","RBGU","RBME","REDH","RIRA","ROET","RTLO","RUDU","RWBL","SAND","SEPL","SNEG","SORA","SPSA","SUSC","VIRA","WCGR","WEGU","WESA","WFIB","WHIM","WILL","WIPH","WISN","YBCH"
"1",2010,87,2069,248,1856,207,34,36,8,162,30,2558,251,405,1600,79,472,953,2,22,104,2,331,330,6,101,106,859,112,153,54,57,467,131,3,8,409,15,404,366,11,10,59,1048,66,35,781,574,45,23,170,253,42,171,9,23,3,540,1369,3,255,253,12,37,67,20,839,380,934,200,94,169,3,15,19
"2",2011,110,3939,652,2426,193,52,38,1,176,88,38,529,442,124,95,240,1338,21,43,138,10,448,910,41,150,167,1040,96,140,36,69,795,59,5,20,537,58,716,246,6,18,10,1331,109,35,1224,950,57,36,143,683,78,132,36,62,3,703,1762,10,329,321,13,67,90,38,859,553,1831,295,88,117,6,5,16
"3",2012,162,1373,165,1475,506,52,49,0,128,5,65,403,393,1328,65,92,1870,20,41,95,9,680,536,23,108,118,671,108,143,35,60,421,223,15,21,472,66,499,167,43,8,9,866,37,51,595,838,40,147,129,311,61,88,42,50,0,828,1318,10,229,318,9,58,80,7,755,508,975,192,89,53,36,13,19
"4",2013,52,575,167,971,353,97,40,0,104,21,103,254,248,1084,81,33,1613,11,27,66,19,504,387,9,92,92,481,98,127,25,55,429,38,5,21,437,74,798,141,7,3,27,901,29,47,293,474,47,28,154,163,18,33,40,27,24,362,1160,66,437,242,2,61,78,4,1134,416,820,332,88,99,12,13,21
"5",2014,25,280,75,1085,310,126,46,14,33,5,37,178,252,1618,15,30,1532,4,17,20,3,390,276,39,79,60,247,140,154,23,56,190,192,25,2,387,76,412,193,0,4,97,514,39,50,129,133,73,49,98,230,22,0,28,53,2,212,905,60,412,189,6,67,30,5,94,499,527,225,155,256,1,17,15
"6",2015,47,701,311,1560,435,109,54,40,53,126,46,337,242,115,25,81,1012,0,9,47,7,261,251,28,75,5,206,140,162,24,40,267,19,30,3,394,133,834,222,0,7,115,433,41,25,246,447,61,7,86,261,10,6,28,12,9,241,951,24,823,152,2,55,2,3,105,395,577,135,127,231,0,4,48
"7",2016,19,574,307,1514,473,92,59,22,97,50,46,227,193,7,12,258,1020,9,36,72,5,480,374,13,48,12,254,173,186,31,54,192,20,10,0,483,79,445,86,0,8,107,791,42,24,120,432,65,16,75,479,3,12,48,31,7,219,849,50,403,201,8,76,2,5,135,342,559,53,148,245,1,1,41
"8",2017,52,1360,133,1894,316,101,67,18,121,1,657,398,178,839,21,415,887,1,65,56,4,934,183,19,60,30,265,210,304,33,28,131,33,10,0,364,101,573,102,2,4,107,931,54,25,184,577,53,10,99,312,9,47,40,7,8,453,632,5,281,275,9,83,3,6,314,653,464,76,119,253,6,0,35
"9",2018,15,558,228,1302,369,70,63,30,32,0,91,277,115,25,0,155,929,4,47,38,6,428,259,16,24,38,262,204,283,38,43,115,32,6,8,467,168,520,58,2,4,51,614,29,22,123,388,66,11,151,267,18,4,37,54,9,210,644,3,580,182,5,89,59,10,704,670,493,62,204,205,1,0,33
"10",2019,30,949,203,2099,361,84,49,51,71,5,317,378,193,56,3,90,857,1,29,59,26,674,221,19,59,24,351,184,210,42,37,115,35,7,7,438,212,361,119,1,5,93,934,114,21,44,562,55,10,118,462,10,46,54,23,6,414,792,10,355,171,2,69,29,51,808,864,341,41,180,258,1,2,42
"11",2020,25,1853,166,1582,367,119,46,61,103,1,826,299,210,8,1,185,1325,4,153,85,26,682,426,27,71,51,475,233,397,52,45,314,42,3,2,595,216,554,130,47,2,188,1207,125,23,284,518,59,4,174,336,32,130,96,455,7,488,1196,25,293,269,7,54,64,24,933,751,724,24,209,279,2,0,64
"12",2021,26,1944,110,1222,436,38,36,45,16,0,344,658,209,3648,1,122,749,4,38,46,17,488,444,6,13,114,224,155,200,29,50,192,38,1,4,304,131,462,156,60,0,122,725,90,28,97,80,60,10,130,183,30,34,84,116,7,415,1172,7,368,205,1,37,22,10,679,651,525,13,280,327,3,0,42
