Quadrat.ID,Region,Age,Redox.potential,Relative.tidal.height,Spar,Sali,Suae,Atri,Aste,Limo,Pucc,Trig,Plan,Elyt
ABBOT A01,essex,MR,454,1.41,0,1,0,0,0,0,1,0,0,0
ABBOT A02,essex,MR,443,0.85,0,1,1,0,0,0,0,0,0,0
ABBOT A03,essex,MR,454,0.99,0,1,1,0,0,0,0,0,0,0
ABBOT A04,essex,MR,454,1.11,0,0,0,0,0,0,1,0,0,0
ABBOT A05,essex,MR,373,0.94,0,1,1,0,0,0,0,0,0,0
ABBOT A06,essex,MR,294,0.85,0,1,1,0,0,0,0,0,0,0
ABBOT A07,essex,MR,434,0.82,0,1,1,0,0,0,1,0,0,0
ABBOT A08,essex,MR,404,0.88,0,1,1,1,0,0,1,0,0,0
ABBOT A09,essex,MR,436,0.85,0,1,1,0,0,0,0,0,0,0
ABBOT A10,essex,MR,424,0.88,0,1,1,0,0,0,0,0,0,0
ABBOT A11,essex,MR,454,0.97,0,1,1,0,1,0,0,0,0,0
ABBOT A12,essex,MR,434,1.04,0,0,0,0,0,0,0,0,0,1
ABBOT A13,essex,MR,403,0.84,0,1,1,0,0,0,1,0,0,0
ABBOT A14,essex,MR,454,0.76,0,1,1,1,0,0,0,0,0,0
ABBOT A15,essex,MR,274,0.46,0,1,1,0,0,0,0,0,0,0
ABBOT A16,essex,MR,274,0.32,0,1,1,0,0,0,0,0,0,0
ABBOT A17,essex,MR,274,0.39,0,1,1,0,0,0,0,0,0,0
ABBOT A18,essex,MR,274,0.33,0,1,1,0,1,0,0,0,0,0
ABBOT A19,essex,MR,274,0.6,0,1,1,0,0,0,0,0,0,0
ABBOT A20,essex,MR,274,0.68,0,1,1,0,0,0,0,0,0,0
ABBOT A21,essex,MR,413,0.72,0,1,1,0,0,0,0,0,0,0
ABBOT A22,essex,MR,384,0.74,0,1,1,0,0,0,0,0,0,0
ABBOT A23,essex,MR,334,0.8,0,1,1,0,1,0,0,0,0,0
ABBOT A24,essex,MR,409,0.81,0,1,1,0,0,0,1,0,0,0
ABBOT A25,essex,MR,371,0.86,0,1,1,1,0,0,0,0,0,0
ABBOT A26,essex,MR,371,0.89,0,1,1,0,0,0,0,0,0,0
ABBOT A27,essex,MR,354,0.98,0,1,1,0,0,0,1,0,0,0
