Plot,Elevation,SoilPC1
T1_1,737.4605724,0.061926624
T1_10,798.3749551,0.015455492
T1_11,794.4929831,0.021205899
T1_12,786.5122661,-0.002782518
T1_13,775.5417662,0.015985803
T1_14,770.8388814,0.029558341
T1_15,768.2011033,-0.003177282
T1_16,767.9085966,0.003444169
T1_17,764.0156872,0.012558495
T1_18,762.9968509,0.041142698
T1_19,761.0345507,-0.001596842
T1_2,739.6411604,-0.003814758
T1_20,760.2379297,-0.023223335
T1_21,761.4611553,-0.009111255
T1_22,765.959992,-0.01773217
T1_23,778.9998012,-0.041576121
T1_24,793.6871754,-0.034644901
T1_25,795.8359577,-0.009771745
T1_26,796.1403272,0.032150485
T1_27,798.0829084,0.023507576
T1_28,801.5711591,0.001057131
T1_29,818.2038609,-0.015778859
T1_3,741.6185998,0.092195027
T1_30,833.6733449,-0.003006618
T1_31,836.2331739,-0.004146306
T1_32,827.4844494,0.016914861
T1_33,821.6497889,0.020731529
T1_34,818.7619121,0.042295507
T1_35,816.4435154,0.016195435
T1_36,809.4872133,0.001523703
T1_37,800.313607,0.017074719
T1_38,795.0012564,0.097043521
T1_39,796.9211551,-0.045064496
T1_4,746.0975646,0.115414987
T1_40,799.7223156,0.107801068
T1_41,801.5157608,0.106063521
T1_42,807.0535448,-0.02533193
T1_43,812.2279434,-0.049065198
T1_44,820.9734865,-0.040599034
T1_45,832.2711935,-0.009656883
T1_46,843.4778478,0.107857016
T1_47,858.6871442,0.111770275
T1_48,872.7623712,0.299655127
T1_49,891.4658807,0.020936682
T1_5,754.1883066,-0.018753308
T1_50,908.5511737,-0.012220772
T1_51,926.0622199,0.034711157
T1_52,945.352785,0.212851215
T1_53,964.2837602,0.185808169
T1_54,984.5099144,-0.031411859
T1_55,1009.628165,0.132995145
T1_56,1040.282989,0.064769973
T1_57,1072.546335,0.117854272
T1_58,1104.934112,-0.012207406
T1_59,1140.644091,-0.002718683
T1_6,768.4218042,-0.030207319
T1_60,1176.546071,-0.008690285
T1_61,1215.294157,0.059624876
T1_62,1253.489202,-0.018442093
T1_63,1287.092208,0.082221774
T1_64,1319.589425,0.022199894
T1_65,1350.04158,-0.006831559
T1_66,1367.986138,-0.058631169
T1_7,777.0092746,-0.036012719
T1_8,782.9663854,0.017085897
T1_9,791.6975144,0.061591697
T2_1,763.8846604,-0.038838322
T2_10,859.9956503,-0.008614388
T2_11,875.8585416,0.001728472
T2_12,852.6024916,0.008249267
T2_13,833.0697359,0.004459047
T2_14,819.5574365,0.000391026
T2_15,810.9449562,-0.019477519
T2_16,806.9587316,-0.021505061
T2_17,804.709861,0.095140925
T2_18,808.4348646,-0.027175094
T2_19,824.2570609,-0.013611455
T2_2,777.6913843,-0.008200616
T2_20,840.5014743,0.000925442
T2_21,844.829072,-0.005012234
T2_22,832.3609758,-0.016330798
T2_23,827.2505171,-0.022854941
T2_24,820.5496565,0.05313009
T2_25,813.4035292,0.073804915
T2_26,804.2829741,0.022400469
T2_27,809.5269232,0.085650044
T2_28,817.4142,0.005456676
T2_29,823.8330266,-0.040726072
T2_3,794.086162,-0.013358122
T2_30,833.3425909,-0.036784383
T2_31,844.1049454,-0.001723424
T2_32,855.0336634,0.087959393
T2_33,868.9305792,-0.015265738
T2_34,890.655593,0.008797503
T2_35,916.1658034,-0.008272401
T2_36,938.8877164,-0.036916782
T2_37,944.2168601,0.168961237
T2_38,949.3053954,-0.005955181
T2_39,959.3631072,-0.002077322
T2_4,809.5800915,-0.013525416
T2_40,975.3230124,-0.026729089
T2_41,986.5388283,-0.017706716
T2_42,989.7578776,-0.006608435
T2_43,989.2098535,-0.037322097
T2_44,990.0130198,-0.024034769
T2_45,994.4427972,0.004843081
T2_46,1005.337667,0.076370445
T2_47,1020.173166,-0.012220737
T2_48,1039.437854,-0.046562852
T2_49,1060.26368,-0.036227551
T2_5,816.9837656,-0.018518543
T2_50,1082.013191,-0.031408684
T2_51,1104.605791,-0.02695249
T2_52,1128.129906,-0.052463185
T2_53,1157.199335,-0.052088329
T2_54,1183.693583,-0.067121447
T2_55,1214.011015,-0.078286985
T2_56,1245.247684,-0.043080582
T2_57,1273.641325,-0.046718461
T2_58,1295.610599,0.007171898
T2_59,1315.884548,-0.038352438
T2_6,821.6193379,-0.026189262
T2_60,1329.838136,-0.014656259
T2_61,1327.784595,-0.035151998
T2_62,1297.980656,-0.031265996
T2_63,1270.739706,0.05785321
T2_64,1301.657782,-0.009591393
T2_65,1352.322644,-0.036458023
T2_66,1395.661765,-0.053009695
T2_67,1419.515729,-0.084241052
T2_68,1406.311242,0.021072938
T2_69,1380.014783,0.058699532
T2_7,826.6927873,-0.024400912
T2_70,1339.990139,-0.001556849
T2_71,1334.153851,-0.046687644
T2_72,1327.541684,-0.092454008
T2_73,1317.971301,-0.067884126
T2_74,1306.436601,0.001373796
T2_75,1285.571588,0.02215187
T2_76,1259.77507,-0.019587579
T2_77,1236.426884,0.00010623
T2_78,1224.939065,-0.015923127
T2_79,1218.645409,-0.036254611
T2_8,832.7439573,0.000162512
T2_80,1209.134938,0.083841216
T2_81,1202.82996,-0.024179336
T2_9,847.4991073,-0.001214473
T3_1,655,0.08183798
T3_10,694.4356938,-0.04815609
T3_11,707.8423813,-0.012406457
T3_12,714.978662,-0.032741681
T3_13,715.5751339,-0.046583264
T3_14,719.7081772,-0.043559289
T3_15,727.3143068,-0.000820639
T3_16,739.6530436,-0.033850759
T3_17,750.1913796,0.110840944
T3_18,760.2871841,0.004973837
T3_19,770.2166676,-0.02099141
T3_2,656.0366489,0.056161536
T3_20,778.5687396,-0.035535396
T3_21,785.5560527,0.040205281
T3_22,795.4243809,0.001169026
T3_23,812.488436,-0.016504269
T3_24,830.3158768,-0.014036775
T3_25,846.8669397,-0.02134177
T3_26,870.0815097,-0.078989478
T3_27,900.1979358,-0.048331031
T3_28,929.4381038,-0.041575145
T3_29,964.3461466,-0.02385053
T3_3,660.0195534,-0.042766986
T3_30,994.4797751,-0.053571919
T3_31,1020.185576,-0.041434084
T3_32,1047.356661,-0.051880412
T3_33,1072.473401,-0.052485902
T3_36,1079.726819,-0.028733711
T3_37,1069.871357,-0.003538639
T3_38,1072.722124,0.010104049
T3_39,1074.287129,-0.031470575
T3_4,666.0763094,-0.054556184
T3_40,1070.112762,0.010635543
T3_41,1087.474517,-0.008944589
T3_42,1105.567672,-0.009886048
T3_43,1110.599843,0.023456287
T3_44,1107.674401,-0.001687478
T3_45,1102.021645,-0.026338336
T3_46,1101.671402,-0.062116401
T3_47,1119.396461,-0.035063611
T3_48,1139.146549,-0.043064554
T3_49,1163.203981,-0.025480595
T3_5,673.9176566,-0.029629974
T3_50,1181.90247,0.053904148
T3_51,1200.555619,-0.059428135
T3_52,1219.56839,0.005565109
T3_53,1236.234161,-0.008366847
T3_54,1246.569001,0.043656499
T3_55,1251.769625,0.041538825
T3_56,1253.390764,0.031126116
T3_57,1260.548899,-0.048377049
T3_6,679.0307436,-0.056250471
T3_7,677.3346314,-0.038804891
T3_8,679.264397,-0.031347167
T3_9,686.5868089,-0.026711444
T4_1,697.92,-0.063972551
T4_10,699.1232488,-0.037539093
T4_11,687.171167,0.016101369
T4_12,676.3941476,0.024469014
T4_14,668.7222934,-0.059069574
T4_15,674.5331799,-0.034936552
T4_16,682.3373644,-0.026554842
T4_17,689.6051476,-0.003819807
T4_18,692.8496357,-0.035066993
T4_19,701.0928373,-0.068911706
T4_2,722.360973,-0.033455644
T4_20,708.4906359,-0.062837794
T4_21,709.2139499,-0.02608068
T4_22,703.0110841,-0.006118386
T4_23,695.315825,-0.020240115
T4_24,689.9131506,-0.037587922
T4_25,686.0425571,-0.039114107
T4_26,681.8212957,-0.011259076
T4_27,666.7122366,-0.023441029
T4_28,663.8719185,0.057027753
T4_29,669.9394119,-0.071465742
T4_3,749.5545757,-0.071140135
T4_30,674.651012,0.09034246
T4_31,678.5464857,-0.058968504
T4_32,681.7274242,-0.020325472
T4_33,689.7502694,-0.026720698
T4_34,698.9516631,0.06408723
T4_35,707.0987919,0.295092165
T4_36,722.7127533,0.031068696
T4_37,739.5293373,0.005520852
T4_38,751.6791858,0.295074072
T4_39,766.8524035,-0.025096289
T4_4,774.8266744,-0.030634871
T4_40,782.4410357,-0.010249647
T4_41,793.1416792,0.001069251
T4_42,803.0350897,-0.065539259
T4_43,817.945852,-0.046270121
T4_44,836.0922476,-0.002700651
T4_45,856.1329053,-0.040870594
T4_46,875.784287,-0.012859872
T4_47,893.9302467,0.260093434
T4_48,914.2945254,0.070316583
T4_49,936.0837341,-0.007203951
T4_5,779.8624855,-0.053031468
T4_50,964.8121527,0.025656621
T4_51,1006.870404,0.119432682
T4_52,1045.460338,0.114247627
T4_53,1076.288244,0.003214747
T4_54,1108.101853,-0.028087279
T4_58,1159.447821,-0.026349565
T4_59,1150.495637,-0.013610241
T4_6,761.1501247,0.003814324
T4_60,1142.261476,-0.026925788
T4_61,1138.274832,-0.038074185
T4_62,1132.282425,-0.034211986
T4_63,1130.319962,-0.010109999
T4_64,1136.824555,-0.001779406
T4_65,1141.52956,-0.005581213
T4_66,1138.211295,-0.018882039
T4_67,1132.506052,-0.007084613
T4_68,1145.964052,0.005677225
T4_69,1172.941619,-0.020805299
T4_7,742.0254111,-0.013209365
T4_70,1197.203417,-0.024764681
T4_71,1216.366198,-0.014956384
T4_72,1219.925446,-0.043074039
T4_73,1219.397063,-0.036840284
T4_74,1225.701615,-0.050777903
T4_75,1240.61062,-0.035741217
T4_76,1261.641939,-0.025918229
T4_77,1284.36586,0.002393372
T4_78,1297.507802,-0.038891019
T4_79,1303.554019,-0.029759379
T4_8,726.7315582,-0.026641354
T4_80,1312.112067,-0.046108598
T4_81,1318.543441,-0.103200123
T4_82,1322.922642,-0.02909059
T4_83,1325.091255,-0.041460498
T4_84,1332.63829,0.026436309
T4_9,714.8075054,0.145759763
TS_1,1080.246719,-0.022796775
TS_2,1076.795994,-0.034285818
TS_3,1081.291262,0.020358536
TS_4,1083.797505,-0.037195715
TS_5,1073.469179,0.048014828
