Plot,MaxD,MedianD,Q25D,Q75D,NQD,CPA,Volume,DeadwoodVolume,DeadwoodShare,RegenerationArea,TreeLayer2Area,TreeLayer2Height,ForestSuccesionalStage,ForestSuccessionalStage_Ord
T1_10,58.06656449,30.45187768,27.21315247,40.13296656,42.42698668,87.2,379.160564,9.621000616,2.474654534,0,80,10,Mid_Optimum,5
T1_11,103.8881407,54.08791611,44.93607815,83.09605157,70.55175382,97.9,1201.172802,21.30486782,1.742761307,5,30,15,Late_Optimum,6
T1_12,52.25541324,40.45538168,37.71523656,46.14976149,20.84895652,88.5,537.1323953,15.51286332,2.807020069,5,30,10,Mid_Optimum,5
T1_13,74.77868602,36.53872961,17.48309383,52.97874291,97.14527423,83.4,519.3942296,4.06255065,0.776100493,5,20,12,Late_Optimum,6
T1_14,67.03862935,20.56607238,17.44419711,29.05784629,56.46994215,82.1,155.1737702,421.8473294,73.10778231,50,40,10,Regeneration,2
T1_15,48.87900889,30.01260222,27.57852259,31.89858171,14.39415048,94.7,230.5462282,98.41910907,29.91777489,30,20,12,Mid_Optimum,5
T1_16,56.60292202,41.23632121,25.69618412,45.24572666,47.40855141,39.8,279.3578863,11.86469595,4.074098876,5,0,0,Mid_Optimum,5
T1_17,30.92555991,18.90258264,17.09683732,26.57428837,50.13839238,65,50.06373182,0.120165921,0.239451151,60,50,10,Early_Optimum,4
T1_19,28.86942112,28.86942112,28.86942112,28.86942112,0,1.4,8.15440053,25.29256932,75.61991246,0,30,10,Gap,1
T1_20,54.27981802,31.29308362,26.83866026,33.21625948,20.38021977,67.7,246.0884049,29.22798693,10.61614484,10,30,8,Mid_Optimum,5
T1_21,80.1893909,37.00575167,30.71064049,45.90331109,41.05488988,85.3,489.3713959,301.5792611,38.12870733,10,20,10,Decay,9
T1_22,84.03238017,35.98222714,31.93894667,47.08738097,42.09976843,88.2,682.1521841,7.999908556,1.159151532,20,20,12,Late_Optimum,6
T1_23,70.59170116,37.05241559,32.54581989,42.18417039,26.0127453,93.1,423.828075,7.304752646,1.694316039,10,10,12,Late_Optimum,6
T1_24,50.0919518,35.72628163,30.90562693,39.63268332,24.42755301,90.8,374.6518079,29.45283692,7.288418308,0,0,0,Mid_Optimum,5
T1_25,56.47831351,26.04163395,24.15479974,29.04766498,18.78862613,78.2,245.1733049,141.8966417,36.65917309,2,70,12,Early_Optimum,4
T1_27,50.6208787,13.12462536,12.59048865,29.20191734,126.5668789,17.8,48.90470489,145.1026288,74.79234214,40,0,0,Gap,1
T1_28,61.73670729,28.81224159,21.68060309,41.34688379,68.256684,46.8,173.0328245,101.7527311,37.02986894,5,10,8,Decay,9
T1_29,45.57024258,33.69562157,25.58229402,38.10523561,37.16489269,54.2,170.2345214,373.6193254,68.69847985,20,10,6,Decay,9
T1_30,41.32345039,28.68283173,21.35408391,36.45858716,52.66043254,29.5,74.50142337,415.1295064,84.78416725,0,20,8,Gap,1
T1_31,46.88468463,28.37309875,15.99913168,34.85163083,66.44497774,70.3,105.9763674,397.9974045,78.97184868,40,0,0,Decay,9
T1_32,48.47725815,24.36019293,16.85366581,31.9857944,62.11826251,90.2,152.9030476,432.0361394,73.86000955,5,20,8,Decay,9
T1_33,26.80399644,14.87015217,13.73225779,19.49139037,38.7294798,16.3,16.74625546,546.7829641,97.02832526,20,5,10,Gap,1
T1_34,25.20896769,12.61538404,11.91332361,13.70351096,14.19051011,31.9,8.885936958,391.3665038,97.77991686,40,0,0,Decay,9
T1_35,49.52420837,16.97258564,14.04815559,24.41094903,61.05606808,79.5,85.28281937,327.4431629,79.33669722,40,40,15,Decay,9
T1_36,44.29866497,15.46250063,14.77972568,19.17365637,28.41668882,89.9,62.05971877,456.1578385,88.024389,80,30,14,Regeneration,2
T1_37,40.77233762,24.12462857,13.90906718,34.71730374,86.25308572,39.6,71.95460904,310.3079871,81.17665454,10,20,8,Decay,9
T1_38,30.23371992,16.08626711,14.61947931,18.28871816,22.80975955,60.5,35.54120006,478.6573749,93.08803995,30,30,12,Decay,9
