Taxon,Group,Plot,NumberOfSpecies,Abundance,TotalNumberOfSpecies
Lichens,producer,T1_27,10,18,151
Lichens,producer,T1_3,17,33,151
Lichens,producer,T1_30,11,40,151
Lichens,producer,T1_39,20,30,151
Lichens,producer,T1_4,9,17,151
Lichens,producer,T1_49,29,53,151
Lichens,producer,T1_51,14,23,151
Lichens,producer,T1_52,38,54,151
Lichens,producer,T1_53,9,20,151
Lichens,producer,T1_55,13,25,151
Lichens,producer,T1_56,18,24,151
Lichens,producer,T1_58,12,21,151
Lichens,producer,T1_59,14,51,151
Lichens,producer,T1_60,11,15,151
Lichens,producer,T1_61,19,29,151
Lichens,producer,T1_62,18,36,151
Lichens,producer,T1_63,7,20,151
Lichens,producer,T1_64,8,31,151
Lichens,producer,T1_65,30,61,151
Lichens,producer,T1_66,14,32,151
Lichens,producer,T1_9,13,34,151
Lichens,producer,T2_1,4,4,151
Lichens,producer,T2_2,10,16,151
Lichens,producer,T2_23,20,42,151
Lichens,producer,T2_25,20,30,151
Lichens,producer,T2_27,10,19,151
Lichens,producer,T2_3,5,9,151
Lichens,producer,T2_35,24,38,151
Lichens,producer,T2_36,13,20,151
Lichens,producer,T2_38,3,11,151
Lichens,producer,T2_39,3,3,151
Lichens,producer,T2_41,7,11,151
Lichens,producer,T2_44,16,18,151
Lichens,producer,T2_48,9,20,151
Lichens,producer,T2_50,4,5,151
Lichens,producer,T2_52,4,10,151
Lichens,producer,T2_53,12,33,151
Lichens,producer,T2_54,15,27,151
Lichens,producer,T2_61,2,2,151
Lichens,producer,T2_67,20,37,151
Lichens,producer,T2_69,17,33,151
Lichens,producer,T2_73,13,30,151
Lichens,producer,T2_75,15,33,151
Lichens,producer,T2_79,11,24,151
Lichens,producer,T2_81,9,24,151
Lichens,producer,T2_9,4,6,151
Lichens,producer,T3_1,5,17,151
Lichens,producer,T3_12,6,20,151
Lichens,producer,T3_17,3,7,151
Lichens,producer,T3_22,4,8,151
Lichens,producer,T3_23,1,1,151
Lichens,producer,T3_25,4,11,151
Lichens,producer,T3_26,6,12,151
Lichens,producer,T3_27,6,13,151
Lichens,producer,T3_28,6,8,151
Lichens,producer,T3_29,8,14,151
Lichens,producer,T3_3,4,9,151
Lichens,producer,T3_30,5,8,151
Lichens,producer,T3_31,5,18,151
Lichens,producer,T3_33,7,21,151
Lichens,producer,T3_36,10,16,151
Lichens,producer,T3_37,4,9,151
Lichens,producer,T3_45,13,32,151
Lichens,producer,T3_48,9,30,151
Lichens,producer,T3_49,11,26,151
Lichens,producer,T3_52,12,23,151
Lichens,producer,T3_53,15,26,151
Lichens,producer,T3_55,0,0,151
Lichens,producer,T3_57,15,39,151
Lichens,producer,T3_9,3,12,151
Lichens,producer,T4_14,2,5,151
Lichens,producer,T4_20,1,5,151
Lichens,producer,T4_21,7,17,151
Lichens,producer,T4_22,13,16,151
Lichens,producer,T4_24,12,18,151
Lichens,producer,T4_27,0,0,151
Lichens,producer,T4_28,3,10,151
Lichens,producer,T4_29,6,16,151
Lichens,producer,T4_35,5,9,151
Lichens,producer,T4_36,9,14,151
Lichens,producer,T4_37,13,22,151
Lichens,producer,T4_38,8,14,151
Lichens,producer,T4_39,19,21,151
Lichens,producer,T4_4,5,10,151
Lichens,producer,T4_40,16,38,151
Lichens,producer,T4_41,16,25,151
Lichens,producer,T4_42,3,7,151
Lichens,producer,T4_43,5,9,151
Lichens,producer,T4_44,2,2,151
Lichens,producer,T4_47,2,4,151
Lichens,producer,T4_48,4,6,151
Lichens,producer,T4_49,5,8,151
Lichens,producer,T4_5,0,0,151
Lichens,producer,T4_51,6,8,151
