"Plot","Ancistrocerus nigricornis","Ancistrocerus trifasciatus","Andrena bicolor","Andrena fulva","Andrena fulvata","Andrena gravida","Andrena haemorrhoa","Andrena helvola","Andrena humilis","Andrena intermedia","Andrena jacobi","Andrena lapponica","Andrena nigroaenea","Andrena ovatula","Andrena subopaca","Andrena wilkella","Anoplius nigerrimus","Anoplius tenuicornis","Anthophora furcata","Apis mellifera","Arachnospila anceps","Arachnospila spissa","Argogorytes mystaceus","Auplopus carbonarius","Bombus barbutellus","Bombus bohemicus","Bombus hortorum","Bombus hypnorum","Bombus jonellus","Bombus lapidarius","Bombus lucorum","Bombus norvegicus","Bombus pascuorum","Bombus pratorum","Bombus rupestris","Bombus soroeensis","Bombus sylvarum","Bombus sylvestris","Bombus wurfleini","Cerceris quadrifasciata","Cerceris quinquefasciata","Chrysis equestris","Chrysis fulgida","Chrysis ignita","Cleptes semiauratus","Coelioxys aurolimbata","Crossocerus annulipes","Crossocerus assimilis","Crossocerus barbipes","Crossocerus binotatus","Crossocerus cetratus","Crossocerus congener","Crossocerus exiguus","Crossocerus leucostoma","Crossocerus megacephalus","Crossocerus nigritus","Crossocerus podagricus","Crossocerus varus","Dipogon bifasciatus","Dipogon subintermedius","Dolichovespula adulterina","Dolichovespula media","Dolichovespula norwegica","Dolichovespula omissa","Dolichovespula saxonica","Dolichovespula sylvestris","Dolichurus corniculus","Dryudella femoralis","Ectemnius borealis","Ectemnius cavifrons","Ectemnius cephalotes","Ectemnius dives","Ectemnius ruficornis","Euodynerus quadrifasciatus","Gorytes laticinctus","Halictus rubicundus","Halictus tumulorum","Harpactus tumidus","Heriades truncorum","Hylaeus annulatus","Hylaeus communis","Hylaeus confusus","Lasioglossum calceatum","Lasioglossum fulvicorne","Lasioglossum lativentre","Lasioglossum leucozonium","Lasioglossum rufitarse","Lasioglossum subfulvicorne","Lasioglossum zonulum","Megachile nigriventris","Melecta albifrons","Mellinus arvensis","Mimumesa dahlbomi","Myrmosa atra","Nitela borealis","Nitela spinolae","Nomada flava","Nysson niger","Nysson spinosus","Omalus aeneus","Osmia bicornis","Osmia nigriventris","Osmia parietina","Passaloecus borealis","Passaloecus corniger","Passaloecus eremita","Passaloecus gracilis","Passaloecus insignis","Passaloecus singularis","Pemphredon inornata","Pemphredon lethifer","Pemphredon lugens","Pemphredon montana","Pemphredon morio","Philanthus triangulum","Polistes biglumis bimaculatus","Priocnemis exaltata","Priocnemis hyalinata","Priocnemis perturbator","Priocnemis schioedtei","Psenulus concolor","Psenulus pallipes","Psenulus schencki","Pseudognoales hahni","Pseudomalus auratus","Rhopalum clavipes","Rhopalum coarctatum","Sphecodes crassus","Sphecodes ephippius","Sphecodes geoffrellus","Symmorphus allobrogus","Tachysphex pompiliformis","Trichrysis cyanea","Trypoxylon figulus","Trypoxylon kostylevi","Trypoxylon minus","Vespula austriaca","Vespula germanica","Vespula rufa","Vespula vulgaris"
"T1_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_2",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"T1_27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_30",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"T1_34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"T1_38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_39",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T1_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"T1_40",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
