"Plot","Acericerus heydenii (Kbm.)","Aguriahana pictilis (Stal)","Alebra albostriella (Fall.)","Alebra viridis R.","Allygus mixtus (F.)","Alnetoidia alneti (Dhlb.)","Anoscopus albifrons (L.)","Aphrodes diminuta Rib.","Aphrophora alni (Fall.)","Arocephalus longiceps (Kbm.)","Arthaldeus pascuellus (Fall.)","Balclutha punctata (F.)","Centrotus cornutus (L.)","Cercopis vulnerata Rossi","Chlorita paolii (Oss.)","Cicadella viridis (L.)","Cicadula persimilis (Edw.)","Cicadula placida (Horv.)","Cicadula quadrinotata (F.)","Cicadula saturata (Edw.)","Cixidia lapponica (Zett.)","Cixius beieri W.Wg.","Cixius cunicularius (L.)","Cixius nervosus (L.)","Colobotettix morbillosus (Mel.)","Deltocephalus pulicaris (Fall.)","Dicranotropis divergens Kbm.","Dikraneura variata Hardy","Edwardsiana flavescens (F.)","Edwardsiana geometrica (Schrk.)","Edwardsiana rosae (L.)","Edwardsiana salicicola (Edw.)","Elymana kozhevnikovi (Zachv.)","Empoasca vitis (G<f6>the)","Errastunus ocellaris (Fall.)","Errhomenus brachypterus Fieb.","Erythria manderstjernii (Kbm.)","Eupelix cuspidata (F.)","Eupteryx atropunctata (Goeze)","Eupteryx aurata (L.)","Eupteryx cyclops Mats.","Eupteryx filicum (Newm.)","Eupteryx heydenii (Kbm.)","Eupteryx notata Curt.","Eupteryx stachydearum (Hardy)","Eupteryx urticae (F.)","Eupteryx vittata (L.)","Eurhadina concinna (Germ.)","Evacanthus interruptus (L.)","Fagocyba cruenta (H.-S.)","Forcipata citrinella (Zett.)","Forcipata forcipata (Fl.)","Hesium domino (Reut.)","Hyledelphax elegantula (Boh.)","Idiodonus cruentatus (Panz.)","Issus muscaeformis (Schrk.)","Jassargus alpinus (Then)","Javesella discolor (Boh.)","Javesella dubia (Kbm.)","Javesella pellucida (F.)","Lamprotettix nitidulus (F.)","Laodelphax striatella (Fall.)","Ledra aurita (L.)","Macropsis fuscula (Zett.)","Macropsis prasina (Boh.)","Macrosteles cristatus (Rib.)","Macrosteles laevis (Rib.)","Macrosteles viridigriseus (Edw.)","Macustus grisescens (Zett.)","Megophthalmus scanicus (Fall.)","Muellerianella extrusa (Scott)","Neophilaenus lineatus (L.)","Oncopsis alni (Schrk.)","Ophiola cornicula (Marsh.)","Ophiola russeola (Fall.)","Ossiannilssonola callosa (Then)","Paluda flaveola (Boh.)","Perotettix pictus (Leth.)","Philaenus spumarius (L.)","Pithyotettix abietinus (Fall.)","Planaphrodes nigrita (Kbm.)","Psammotettix alienus (Dhlb.)","Psammotettix confinis (Dhlb.)","Rhopalopyx adumbrata (C. Shlb.)","Ribautiana tenerrima (H.-S.)","Speudotettix subfusculus (Fall.)","Streptanus aemulans (Kbm.)","Streptanus sordidus (Zett.)","Struebingianella lugubrina (Boh.)","Thamnotettix confinis (Zett.)","Verdanus bensoni (China)","Zygina angusta Leth.","Zygina nigritarsis Rem.","Zygina ordinaria (Rib.)","Zyginidia scutellaris (H.-S.)"
"T1_2",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"T1_34",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"T1_40",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"T1_42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_52",0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"T1_61",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"T1_63",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0
"T1_66",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"T1_8",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
