Plot,Acarospora fuscata (Nyl.) Th.Fr.,Alectoria sarmentosa (Ach.) Ach.,Amandinea punctata (Hoffm.) Coppins & Scheideg.,Arthonia leucopellaea (Ach.) Almq.,Aspicilia caesiocinerea (Nyl. ex Malbr.) Arnold,Aspicilia cinerea (L.) K�rber,Bacidia globulosa (Fl�rke) Haf. & V.Wirth,Bacidia rosella (Pers.) De Not.,Bacidia rubella (Hoffm.) Massal.,Bacidina phacodes,Baeomyces rufus var. rufus,Biatora epixanthoidiza,Bryoria capillaris (Ach.) Brodo & D.Hawksw.,Bryoria fuscescens (Gyelnik) Brodo & D.Hawksw.,Bryoria nadvornikiana (Gyelnik) Brodo & D.Hawksw.,Buellia griseovirens (Turner & Borrer ex Sm.) Almb.,Calicium glaucellum Ach.,Calicium salicinum Pers.,Calicium trabinellum (Ach.) Ach.,Calicium viride Pers.,Cetraria chlorophylla (Willd.) Vainio,Cetraria islandica (L.) Ach.,Cetraria oakesiana Tuck.,Cetrelia cetrarioides (Delise ex Duby) W.Culb. & C.Culb.,Chaenotheca brunneola,Chaenotheca chrysocephala (Turner ex Ach.) Th.Fr.,Chaenotheca ferruginea (Turner & Borrer) Migula,Chaenotheca furfuracea (L.) Tibell,Chaenothecopsis viridialba (Krempelh.) A.Schmidt,Chrysothrix candelaris (L.) Laundon,Chrysothrix chlorina (Ach.) Laundon,Cladonia bellidiflora (Ach.) Schaerer,Cladonia borealis Stenroos,Cladonia botrytes (Hagen) Willd.,Cladonia carneola (Fr.) Fr.,Cladonia cenotea (Ach.) Schaerer,Cladonia cervicornis ssp. verticillata (Hoffm.) Ahti,Cladonia coccifera (L.) Willd.,Cladonia coniocraea auct.,Cladonia cornuta (L.) Hoffm.,Cladonia deformis (L.) Hoffm.,Cladonia digitata (L.) Hoffm.,Cladonia fimbriata (L.) Fr.,Cladonia furcata (Hudson) Schrader,Cladonia furcata ssp. furcata,Cladonia glauca,Cladonia gracilis (L.) Willd.,Cladonia macilenta ssp. floerkeana (Fr.) V.Wirth,Cladonia macilenta ssp. macilenta,Cladonia pleurota,Cladonia polydactyla,Cladonia pyxidata (L.) Hoffm.,Cladonia pyxidata ssp. chlorophaea (Sommerf.) V.Wirth,Cladonia pyxidata ssp. pyxidata,Cladonia squamosa var. squamosa,Cladonia squamosa var. subsquamosa (Nyl. ex Leighton) Vainio,Cladonia sulphurina (Michaux) Fr.,Cladonia uncialis (L.) Weber ex Wigg.,Cladonia uncialis ssp. uncinalis,Cyphelium inquinans (Sm.) Trevisan,Cyphelium karelicum,Dibaeis baeomyces (L.fil.) Rambold & Hertel,Dimerella lutea (Dickson) Trevisan,Dimerella pineti (Ach.) Vezda,Diploschistes scruposus (Schreb.) Norman,Evernia prunastri (L.) Ach.,Graphis scripta (L.) Ach.,Gyalecta flotowii,Gyalecta ulmi (Sw.) Zahlbr.,Hypocenomyce scalaris (Ach. ex Lilj.) Choisy,Hypogymnia austerodes,Hypogymnia bitteri (Lynge) Ahti,Hypogymnia farinacea Zopf,Hypogymnia physodes (L.) Nyl.,Hypogymnia tubulosa (Schaerer) Hav.,Hypogymnia vittata (Ach.) Parr.,Icmadophila ericetorum (L.) Zahlbr.,Imshaugia aleurites (Ach.) S.F.Meyer,Lecanactis abietina,Lecanora albella (Pers.) Ach.,Lecanora argentata (Ach.) Malme,Lecanora carpinea (L.) Vainio,Lecanora conizaeoides Nyl. ex Cromb.,Lecanora expallens Ach.,Lecanora intumescens (Rebent.) Rabenh.,Lecanora subintricata (Nyl.) Th.Fr.,Lecanora symmicta var. symmicta,Lecanora varia (Hoffm.) Ach.,Lecidea plana (Lahm) Nyl.,Lecidella elaeochroma (Ach.) Choisy,Lepraria incana (L.) Ach.,Leprocaulon microscopicum (Vill.) Gams,Leproloma membranaceum (Dickson) Vainio,Loxospora cismonica (Beltram.) Haf.,Loxospora elatina (Ach.) Massal.,Menegazzia terebrata (Hoffm.) Massal.,Micarea cinerea (Schaerer) Hedl.,Micarea denigrata (Fr.) Hedl.,Micarea prasina Fr.,Microcalicium disseminatum (Ach.) Vainio,Mycobilimbia sphaeroides (Dickson),Mycoblastus fucatus (Stirton) Zahlbr.,Mycoblastus sanguinarius (L.) Norman,Mycocalicium subtile (Pers.) Szat.,Nephroma resupinatum (L.) Ach.,Ochrolechia androgyna (Hoffm.) Arnold,Ochrolechia arborea (Kreyer) Almborn,Ochrolechia pallescens (L.) Massal.,Ochrolechia turneri (Sm.) Hasselr.,Opegrapha atra Pers.,Opegrapha varia Pers.,Opegrapha varia var. varia,Opegrapha vermicellifera (Kunze) Laundon,Opegrapha viridis (Pers. ex Ach.) Behlen & Desberger,Parmelia acetabulum (Necker) Duby,Parmelia glabratula (Lamy) Nyl.,Parmelia glabratula ssp. fuliginosa (Fr. ex Duby) Laundon,Parmelia glabratula ssp. glabratula,Parmelia saxatilis (L.) Ach.,Parmelia subaurifera Nyl.,Parmelia sulcata Taylor,Parmelia tiliacea (Hoffm.) Ach.,Parmeliopsis ambigua (Wulfen) Nyl.,Parmeliopsis hyperopta (Ach.) Arnold,Peltigera horizontalis (Hudson) Baumg.,Pertusaria albescens (Hudson) Choisy & Werner,Pertusaria amara (Ach.) Nyl.,Pertusaria hemisphaerica,Pertusaria leioplaca DC.,Pertusaria pertusa var. pertusa,Phaeophyscia orbicularis (Neck.) Moberg,Phlyctis argena (Sprengel) Flotow,Physconia perisidiosa (Erichsen) Moberg,Platismatia glauca (L.) W.Culb. & C.Culb.,Pseudevernia furfuracea (L.) Zopf,Pyrenula nitida (Weigel) Ach.,Ramalina farinacea (L.) Ach.,Ramalina fastigiata (Pers.) Ach.,Ramalina fraxinea (L.) Ach.,Ramalina pollinaria (Westr.) Ach.,Rhizocarpon badioatrum,Rhizocarpon cinereovirens,Rhizocarpon geographicum (L.) DC.,Rhizocarpon geographicum ssp. geographicum,Sclerophora peronella (Ach.) Tibell,Scoliciosporum chlorococcum (Graewe ex Stenham.) Vezda,Sphinctrina anglica Nyl.,Sphinctrina tubiformis Massal.,Sphinctrina turbinata (Pers.: Fr.) De Not.,Thelotrema lepadinum (Ach.) Ach.,Umbilicaria deusta (L.) Baumg.,Usnea filipendula Stirton,Usnea florida (L.) Weber ex Wigg.,Usnea hirta (L.) Weber ex Wigg.,Usnea subfloridana Stirton,Vulpicida pinastri (Scop.) J.-E.Mattson & Lai,Xylographa parallela (Ach.) Behlen & Desberger
T1_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T1_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
T1_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T1_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1_49,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
T1_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1_52,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T1_53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
