"Plot","Amblystegium serpens (Hedw.) Schimp.","Amblystegium varium (Hedw.) Lindb.","Amphidium mougeotii (Bruch & Schimp.) Schimp.","Anastrepta orcadensis (Hook.) Schiffn.","Andreaea rupestris Hedw.","Antitrichia curtipendula (Hedw.) Brid.","Atrichum undulatum (Hedw.) P. Beauv.","Barbilophozia attenuata (Mart.) Loeske","Barbilophozia floerkei (F. Weber & D. Mohr) Loeske","Barbilophozia hatcheri (A. Evans) Loeske","Barbilophozia lycopodioides (Wallr.) Loeske","Bazzania flaccida (Dumort.) Grolle","Bazzania trilobata (L.) Gray","Blepharostoma trichophyllum (L.) Dumort.","Brachythecium reflexum (Starke) Schimp.","Brachythecium rutabulum (Hedw.) Schimp.","Brachythecium salebrosum (F. Weber & D. Mohr) Schimp.","Brachythecium velutinum (Hedw.) Schimp.","Calypogeia azurea Stotler & Crotz","Calypogeia muelleriana (Schiffn.) M<fc>ll. Frib.","Calypogeia neesiana (C. Massal. & Carestia) M<fc>ll. Frib.","Cephalozia bicuspidata (L.) Dumort.","Cephalozia leucantha Spruce","Cephalozia lunulifolia (Dumort.) Dumort.","Ceratodon purpureus (Hedw.) Brid.","Conocephalum conicum (L.) Dumort.","Dicranella heteromalla (Hedw.) Schimp.","Dicranodontium denudatum (Brid.) E. Britton","Dicranum fuscescens Sm.","Dicranum montanum Hedw.","Dicranum polysetum Sw.","Dicranum scoparium Hedw.","Diplophyllum albicans (L.) Dumort.","Diplophyllum taxifolium (Wahlenb.) Dumort.","Dryptodon patens (Hedw.) Brid.","Eurhynchium angustirete (Broth.) T. J. Kop.","Eurhynchium hians (Hedw.) Sande Lac.","Grimmia hartmanii Schimp.","Herzogiella seligeri (Brid.) Z. Iwats.","Heterocladium dimorphum (Brid.) Schimp.","Heterocladium heteropterum Schimp.","Homalothecium sericeum (Hedw.) Schimp.","Hookeria lucens (Hedw.) Sm.","Hylocomium splendens (Hedw.) Schimp.","Hylocomium umbratum (Hedw.) Schimp.","Hypnum cupressiforme Hedw.","Hypnum pallescens (Hedw.) P. Beauv.","Hypnum reptile Michx","Isothecium alopecuroides (Dubois) Isov.","Isothecium myosuroides Brid.","Lepidozia reptans (L.) Dumort.","Leucobryum glaucum (Hedw.) <c5>ngstr.","Leucodon sciuroides (Hedw.) Schw<e4>gr.","Lophocolea bidentata (L.) Dumort.","Lophocolea heterophylla (Schrad.) Dumort.","Lophozia ascendens (Warnst.) R. M. Schust.","Lophozia incisa (Schrad.) Dumort.","Lophozia sudetica (Huebener) Grolle","Lophozia ventricosa (Dicks.) Dumort.","Marsupella emarginata (Ehrh.) Dumort.","Metzgeria furcata (L.) Dumort.","Mnium hornum Hedw.","Neckera complanata (Hedw.) Huebener","Neckera crispa Hedw.","Nowellia curvifolia (Dicks.) Mitt.","Oligotrichum hercynicum (Hedw.) Lam. & DC.","Orthotrichum affine Schrad. ex Brid.","Paraleucobryum longifolium (Hedw.) Loeske","Pellia epiphylla (L.) Corda","Plagiochila asplenioides (L.) Dumort.","Plagiochila porelloides (Nees) Lindenb.","Plagiomnium affine (Blandow) T. J. Kop.","Plagiomnium undulatum (Hedw.) T. J. Kop.","Plagiothecium curvifolium Schlieph. ex Limpr.","Plagiothecium denticulatum (Hedw.) Schimp.","Plagiothecium laetum Schimp.","Plagiothecium nemorale (Mitt.) A. Jaeger","Plagiothecium undulatum (Hedw.) Schimp.","Platygyrium repens (Brid.) Schimp.","Pleurozium schreberi (Brid.) Mitt.","Pogonatum aloides (Hedw.) P. Beauv.","Pohlia nutans (Hedw.) Lindb.","Polytrichum commune Hedw.","Polytrichum formosum Hedw.","Polytrichum juniperinum Hedw.","Polytrichum strictum Menzies ex Brid.","Pseudoleskeella nervosa (Brid.) Nyholm","Pseudotaxiphyllum elegans (Brid.) Z. Iwats.","Pterigynandrum filiforme Hedw.","Ptilidium ciliare (L.) Hampe","Ptilidium pulcherrimum (Weber) Vain.","Racomitrium aquaticum (Schrad.) Brid.","Racomitrium elongatum Ehrh. ex Frisvoll","Racomitrium heterostichum (Hedw.) Brid.","Racomitrium sudeticum (Funck) Bruch & Schimp.","Radula complanata (L.) Dumort.","Rhizomnium punctatum (Hedw.) T. J. Kop.","Rhynchostegium riparioides(Hedw.) Cardot","Rhytidiadelphus loreus (Hedw.) Warnst.","Rhytidiadelphus squarrosus (Hedw.) Warnst.","Rhytidiadelphus triquetrus (Hedw.) Warnst.","Sanionia uncinata (Hedw.) Loeske","Scapania nemorea (L.) Grolle","Scapania undulata (L.) Dumort.","Sphagnum angustifolium (Warnst.) C. E. O. Jensen","Sphagnum capillifolium (Ehrh.) Hedw.","Sphagnum compactum Lam. & DC.","Sphagnum fallax (H. Klinggr.) H. Klinggr.","Sphagnum girgensohnii Russow","Sphagnum magellanicum Brid.","Sphagnum palustre L.","Sphagnum riparium <c5>ngstr.","Sphagnum russowii Warnst.","Sphagnum squarrosum Crome","Sphagnum subnitens Russow & Warnst.","Tetraphis pellucida Hedw.","Thuidium tamariscinum (Hedw.) Schimp.","Tritomaria exsecta (Schmidel) Loeske","Ulota bruchii Hornsch. ex Brid."
"T1_27",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"T1_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"T1_30",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"T1_39",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
"T1_4",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0
"T1_49",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"T1_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"T1_53",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"T1_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"T1_56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"T1_58",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"T1_61",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"T1_62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"T1_64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
