"Plot","Abrostola triplasia","Acanthophila latipennella","Acompsia cinerella","Acronicta alni","Acronicta auricoma","Acronicta megacephala","Acronicta menyanthidis","Acronicta psi","Acronicta rumicis","Adela associatella","Agonopterix liturosa","Agriphila straminella","Agrotis exclamationis","Agrotis ipsilon","Agrotis segetum","Alcis repandata","Amphipyra tragopoginis","Anaplectoides prasina","Anchinia daphnella","Ancylis diminutana","Ancylis mitterbacheriana","Ancylis myrtillana","Ancylis unguicella","Angerona prunaria","Apamea crenata","Apamea illyria","Apamea lateritia","Apamea monoglypha","Apamea remissa","Apamea rubrirena","Apamea scolopacina","Apamea unanimis","Apatura iris","Aphomia sociella","Aphomia zelleri","Aplocera plagiata","Aplocera praeformata","Apotomis betuletana","Apotomis sauciana","Apotomis turbidana","Archips xylosteana","Arctia caja","Arctornis l-nigrum","Argyresthia bergiella","Argyresthia conjugella","Argyresthia glabratella","Argyresthia goedartella","Argyresthia spinosella","Assara terebrella","Atolmis rubricollis","Autographa pulchrina","Axylia putris","Bactra lancealana","Batia internella","Bisigna procerella","Biston betularia","Blepharita satura","Brachylomia viminalis","Bryotropha boreella","Bryotropha similis","Bryotropha terrella","Bucculatrix bechsteinella","Cabera pusaria","Callimorpha dominula","Calliteara pudibunda","Caloptilia stigmatella","Calospilos sylvata","Campaea margaritata","Camptogramma bilineata","Capua vulgana","Carcina quercana","Carpatolechia fugitivella","Catarhoe cuculata","Catoptria falsella","Catoptria permutatellus","Catoptria verellus","Celypha lacunana","Cepphis advenaria","Cerapteryx graminis","Chiasmia clathrata","Chionodes electella","Chionodes luctuella","Chloroclysta citrata","Chloroclysta truncata","Chrysoteuchia culmella","Clepsis spectrana","Cnephasia incertana","Coleophora therinella","Coleophora vestianella","Colocasia coryli","Colostygia olivata","Colostygia pectinataria","Cosmia trapezina","Cosmotriche lobulina","Crambus lathoniellus","Crambus pascuella","Crambus perlella","Craniophora ligustri","Crocallis elinguaria","Cucullia lucifuga","Cybosia mesomella","Cyclophora linearia","Cydia fagiglandana","Dasypolia templi","Deilephila elpenor","Deileptenia ribeata","Deltote deceptoria","Dendrolimus pini","Denisia similella","Diachrysia chrysitis","Diacrisia sannio","Diarsia brunnea","Diarsia mendica","Dichelia histrionana","Dioryctria abietella","Dioryctria schuetzeella","Discoloxia blomeri","Drepana falcataria","Drymonia dodonaea","Eana argentana","Ebulea crocealis","Ecliptopera capitata","Ecliptopera silaceata","Ectropis crepuscularia","Eidophasia messingiella","Eilema complana","Eilema depressa","Eilema lurideola","Eilema sororcula","Elachista subalbidella","Electrophaes corylata","Elophos vittaria","Ennomos quercinaria","Entephria caesiata","Epinotia subocellana","Epinotia tedella","Epirrhoe alternata","Epirrhoe molluginata","Epirrhoe tristata","Eriopygodes imbecilla","Ethmia quadrillella","Eucosma cana","Eudonia lacustrata","Eudonia murana","Eudonia truncicolella","Eugnorisma depuncta","Eulia ministrana","Eulithis populata","Eulithis prunata","Euphyia unangulata","Eupithecia abietaria","Eupithecia analoga","Eupithecia tantillaria","Euplexia lucipara","Eupoecilia angustana","Eurois occulta","Eurrhypara hortulata","Eustroma reticulata","Evergestis pallidata","Fagivorina arenaria","Geometra papilionaria","Habrosyne pyritoides","Hada plebeja","Harpella forficella","Hedya nubiferana","Helcystogramma lutatella","Herminia grisealis","Herminia tarsicrinalis","Hoplodrina blanda","Hoplodrina octogenaria","Horisme tersata","Hydrelia flammeolaria","Hydrelia sylvata","Hydriomena furcata","Hydriomena impluviata","Hylaea fasciaria","Hyloicus pinastri","Hypatopa binotella","Hypena crassalis","Hypena proboscidalis","Hypomecis punctinalis","Hypomecis roboraria","Hyppa rectilinea","Idaea aversata","Idaea biselata","Incurvaria oehlmanniella","Ipimorpha subtusa","Itame brunneata","Lacanobia contigua","Lacanobia suasa","Lacanobia thalassina","Lampronia capitella","Lampropteryx otregiata","Laothoe populi","Laspeyria flexula","Lathronympha strigana","Lithomoia solidaginis","Lithosia quadra","Lobesia abscisana","Lomaspilis marginata","Lomographa temerata","Lozotaenia forsterana","Lymantria monacha","Macaria alternata","Macaria liturata","Macaria signaria","Matilella fusca","Meganola albula","Melanchra persicariae","Melanchra pisi","Mesapamea didyma","Mesapamea secalis","Mesoleuca albicillata","Mesoligia furuncula","Metendothenia atropunctana","Mniotype adusta","Moma alpium","Monopis obviella","Montescardia tessulatellus","Mythimna comma","Mythimna conigera","Mythimna impura","Mythimna scirpi","Nematopogon robertella","Neofaculta ericetella","Neofaculta infernella","Noctua fimbriata","Noctua interposita","Noctua pronuba","Notocelia uddmanniana","Notodonta dromedarius","Nycteola asiatica","Ochropacha duplaris","Ochropleura plecta","Odontopera bidentata","Oecophora bractella","Oligia latruncula","Oligia strigilis","Oligia versicolor","Olindia schumacherana","Opigena polygona","Opisthograptis luteolata","Opsibotys fuscalis","Orgyia antiqua","Pammene fasciana","Pandemis cerasana","Pandemis cinnamomeana","Pandemis corylana","Panthea coenobita","Papestra biren","Paramesia gnomana","Parasemia plantaginis","Parornix betulae","Peribatodes rhomboidaria","Peribatodes secundaria","Perinephela lancealis","Perizoma albulata","Perizoma alchemillata","Perizoma taeniata","Phalera bucephala","Pharmacis fusconebulosa","Pheosia gnoma","Pheosia tremula","Phiaris bipunctana","Phiaris dissolutana","Phiaris micana","Phlogophora meticulosa","Phlogophora scita","Phlyctaenia coronata","Phlyctaenia perlucidalis","Phragmatobia fuliginosa","Phymatopus hecta","Plagodis dolabraria","Plagodis pulveraria","Pleuroptya ruralis","Plutella xylostella","Polia bombycina","Polia hepatica","Polia nebulosa","Polia sagittigera","Polymixis gemmea","Protodeltote pygarga","Pseudatemelia josephinae","Pseudohermenias abietana","Pseudoips prasinanus","Ptilodon capucina","Ptilodon cucullina","Pungeleria capreolaria","Pyrausta aurata","Pyrausta purpuralis","Rheumaptera undulata","Rhinoprora debiliata","Rhopobota myrtillana","Rivula sericealis","Rusina ferruginea","Scoparia ambigualis","Scopula floslactata","Scopula ternata","Scotopteryx chenopodiata","Selenia lunularia","Selenia tetralunaria","Shargacucullia scrophulariae","Sideridis rivularis","Spargania luctuata","Spilonota ocellana","Spilosoma lubricipeda","Spilosoma lutea","Stathmopoda pedella","Stauropus fagi","Sterrhopterix standfussi","Strophedra weirana","Swammerdamia compunctella","Syndemis musculana","Syngrapha interrogationis","Tethea or","Tetheella fluctuosa","Thera obeliscata","Thera variata","Thera vetustata","Thyatira batis","Tinea semifulvella","Tinea trinotella","Trachea atriplicis","Triaxomera fulvimitrella","Triaxomera parasitella","Triodia sylvina","Triphosa dubitata","Trisateles emortualis","Udea decrepitalis","Udea hamalis","Udea olivalis","Udea prunalis","Venusia cambrica","Watsonalla cultraria","Xanthorhoe designata","Xanthorhoe montanata","Xanthorhoe quadrifasiata","Xanthorhoe spadicearia","Xestia baja","Xestia c-nigrum","Xestia collina","Xestia ditrapezium","Xestia stigmatica","Xestia triangulum","Xestia xanthographa","Yponomeuta evonymella","Yponomeuta sedella","Ypsolopha falcella","Ypsolopha parenthesella","Ypsolopha sequella","Ypsolopha ustella","Ypsolopha vittella","Zanclognatha tarsipennalis","Zeiraphera griseana"
"T1_2",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"T1_34",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T1_40",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_42",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_49",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"T1_52",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_63",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"T1_66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T2_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
