"Plot","Aglaostigma discolor (Klug, 1817)","Aglaostigma fulvipes (Scopoli, 1763)","Aglaostigma langei (Konow, 1894)","Aglaostigma lichtwardti (Konow, 1892)","Allantus rufocinctus (Retzius, 1763)","Amauronematus semilacteus (Zaddach, 1884)","Ametastegia equiseti (Fall<e9>n, 1808)","Ametastegia pallipes (Spinola, 1808)","Ametastegia tenera (Fall<e9>n, 1808)","Aneugmenus coronatus (Klug, 1818)","Athalia bicolor Serville, 1823","Athalia circularis (Klug, 1815)","Athalia cordata Serville, 1823","Athalia lugens (Klug, 1815)","Birka cinereipes (Klug, 1816)","Calameuta filiformis (Eversmann, 1847)","Caliroa annulipes (Klug, 1816)","Cephalcia alashanica Gussakovskij, 1935","Cephalcia arvensis Panzer, 1805","Cephalcia fulva Battisti & Zanocco, 1994","Cladardis elongatula (Klug, 1817)","Claremontia alternipes (Klug, 1816)","Dolerus aeneus Hartig, 1837","Dolerus gonager (Fabricius, 1771)","Dolerus nigratus (O. F. M<fc>ller, 1776)","Dolerus picipes (Klug, 1818)","Dolerus schmidti Konow, 1884","Dolerus uliginosus (Klug, 1818)","Dolerus vestigialis (Klug, 1818)","Empria longicornis (Thomson, 1871)","Empria tridens (Konow, 1896)","Eutomostethus ephippium (Panzer, 1798)","Eutomostethus luteiventris (Klug, 1816)","Heptamelus dahlbomi (Thomson, 1870)","Heptamelus ochroleucus (Stephens, 1835)","Macrophya alboannulata Costa, 1859","Macrophya annulata (Geoffroy, 1785)","Macrophya duodecimpunctata (Linn<e9>, 1758)","Macrophya ribis (Schrank, 1781)","Monophadnus pallescens (Gmelin, 1790)","Monostegia abdominalis (Fabricius, 1798)","Nematus dispar Zaddach, 1876","Nematus pavidus Serville, 1823","Pachynematus clitellatus (Serville, 1823)","Pachynematus fallax (Serville, 1823)","Pachynematus montanus (Zaddach, 1883)","Pachynematus obductus (Hartig, 1837)","Pachynematus pallescens (Hartig, 1837)","Pachynematus scutellatus (Hartig, 1837)","Pachynematus vagus (Fabricius, 1781)","Pachyprotasis antennata (Klug, 1817)","Pachyprotasis rapae (Linn<e9>, 1767)","Pachyprotasis simulans (Klug, 1817)","Pamphilius gyllenhali (Dahlbom, 1835)","Pamphilius hortorum (Klug, 1808)","Pamphilius sylvaticus (Linn<e9>, 1758)","Perineura rubi (Panzer, 1805)","Phyllocolpa scotaspis (F<f6>rster, 1854)","Phymatocera aterrima (Klug, 1816)","Priophorus brullei Dahlbom, 1835","Priophorus compressicornis (Fabricius, 1804)","Pristiphora bufo (Brischke, 1883)","Pristiphora carinata (Hartig, 1837)","Pristiphora cincta Newman, 1837","Pristiphora compressa (Hartig, 1837)","Pristiphora conjugata (Dahlbom, 1835)","Pristiphora geniculata (Hartig, 1840)","Pristiphora leucopodia (Hartig, 1837)","Pristiphora melanocarpa (Hartig, 1840)","Pristiphora mollis (Hartig, 1837)","Pristiphora nigriceps (Hartig, 1840)","Pristiphora pallidiventris (Fall<e9>n, 1808)","Pristiphora saxesenii (Hartig, 1837)","Rhogogaster dryas (Benson, 1943)","Rhogogaster genistae Benson, 1947","Rhogogaster punctulata (Klug, 1817)","Rhogogaster viridis (Linn<e9>, 1758)","Scolioneura betuleti (Klug, 1816)","Sharliphora nigella (F<f6>rster, 1854)","Siobla sturmii (Klug, 1817)","Stethomostus fuliginosus (Schrank, 1781)","Stromboceros delicatulus (Fall<e9>n, 1808)","Strongylogaster macula (Klug, 1817)","Strongylogaster mixta (Klug, 1817)","Taxonus agrorum (Fall<e9>n, 1808)","Tenthredo atra Linn<e9>, 1758","Tenthredo balteata Klug, 1817","Tenthredo bipunctula Klug, 1817","Tenthredo colon Klug, 1817","Tenthredo ferruginea Schrank, 1776","Tenthredo livida Linn<e9>, 1758","Tenthredo maculata Geoffroy, 1785","Tenthredo mesomela Linn<e9>, 1758","Tenthredo olivacea Klug, 1817","Tenthredo rubricoxis (Enslin, 1912)","Tenthredo scrophulariae Linn<e9>, 1758","Tenthredo temula Scopoli, 1763","Tenthredo velox Fabricius, 1798","Tenthredopsis nassata (Linn<e9>, 1767)","Tenthredopsis scutellaris (Fabricius, 1804)"
"T1_2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_34",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"T1_40",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"T1_42",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T1_49",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"T1_51",1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"T1_52",1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
"T1_61",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"T1_63",0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"T1_66",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
