Year 12. site 1,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Meliosma sp1,22,17,17,0,0,0,0,32.59,84.51,Meliosma sp1,
Meliosma sp1,22,15,0,0,0,0,0,26.63,56.42,Cinnamomum tamala,
Cordia dichotoma,77,87,78,0,0,0,0,139.94,1558.28,species9,
Saurauia nepalensis,40,0,0,0,0,0,0,40.00,127.32,,
Saurauia nepalensis,23,0,0,0,0,0,0,23.00,42.1,,
Saurauia nepalensis,25,0,0,0,0,0,0,25.00,49.74,,
Macaranga denticulata,73,0,0,0,0,0,0,73.00,424.07,,
Saurauia nepalensis,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,20,22,20,0,0,0,0,35.83,102.18,,
Saurauia nepalensis,30,0,0,0,0,0,0,30.00,71.62,,
Saurauia nepalensis,26,0,0,0,0,0,0,26.00,53.79,,
,,,,,,,,,,,
Point 2,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Saurauia sp1,90,0,0,0,0,0,0,90.00,644.58,Terminalia myriocarpa,Maesa sp1
Persea sp1,54,0,0,0,0,0,0,54.00,232.05,Oxyspora sp1,Maesa sp1
Saurauia nepalensis,26,0,0,0,0,0,0,26.00,53.79,Lauraceae sp1,
Saurauia nepalensis,32,0,0,0,0,0,0,32.00,81.49,,
Ixonanthes khasiana,23,23,13,10,1.01,0.1,0,36.44,105.68,,
Saurauia sp1,40,0,0,0,0,0,0,40.00,127.32,,
Saurauia sp1,36,0,0,0,0,0,0,36.00,103.13,,
Saurauia sp1,75,0,0,0,0,0,0,75.00,447.62,,
Terminalia myriocarpa,20,0,0,0,0,0,0,20.00,31.83,,
Saurauia nepalensis,13,0,0,0,0,0,0,13.00,13.45,,
,,,,,,,,,,,
Point 3,,,,,,,,,,,
