Uncut forest. Site 1,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Sapium baccata,356,0,0,0,0,0,0,356,10085.31,Clerodendrum griffithianum,0
Diospyros sp1,33,0,0,0,0,0,0,33,86.66,Dittilasma rarak,
Altingia excelsa,142,0,0,0,0,0,0,142,1604.6,Dittilasma rarak,
Lithocarpus sp1,45,50,0,0,0,0,0,67.2681202354,360.09,,
Altingia excelsa,70,0,0,0,0,0,0,70,389.93,,
Rhus acuminata,70,0,0,0,0,0,0,70,389.93,,
Callicarpa arborea,40,0,0,0,0,0,0,40,127.32,,
Chisocheton paniculatus,16,0,0,0,0,0,0,16,20.37,,
Clerodendrum griffithianum,14,0,0,0,0,0,0,14,15.6,,
Ixonanthes khasiana,22,0,0,0,0,0,0,22,38.52,,
Cinnamomum tamala,36,0,0,0,0,0,0,36,103.13,,
Castanopsis kurzii,36,0,0,0,0,0,0,36,103.13,,
species15,100,100,70,0,0,0,0,157.7973383806,1981.47,,
Elaeocarpus aristatus,13,0,0,0,0,0,0,13,13.45,,
Chisocheton paniculatus,33,0,0,0,0,0,0,33,86.66,,
Chisocheton paniculatus,33,0,0,0,0,0,0,33,86.66,,
species1,55,0,0,0,0,0,0,55,240.72,,
species1,60,0,0,0,0,0,0,60,286.48,,
Altingia excelsa,60,0,0,0,0,0,0,60,286.48,,
,,,,,,,,,,,
Point 2,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Altingia excelsa,280,0,0,0,0,0,0,280,6238.86,Oxyspora sp1,Oxyspora sp1
Castanopsis kurzii,80,0,0,0,0,0,0,80,509.29,Oxyspora sp1,Clerodendrum griffithianum
Altingia excelsa,140,90,0,0,0,0,0,166.4331697709,2204.29,Oxyspora sp1,Clerodendrum griffithianum
Ficus semicordata,32,0,0,0,0,0,0,32,81.49,Oxyspora sp1,Clerodendrum griffithianum
Wendlandia paniculata,50,0,0,0,0,0,0,50,198.94,Oxyspora sp1,
species1,60,0,0,0,0,0,0,60,286.48,Oxyspora sp1,
species1,55,0,0,0,0,0,0,55,240.72,Oxyspora sp1,
species16,16,0,0,0,0,0,0,16,20.37,Maesa sp1,
,,,,,,,,,,Cinnamomum tamala,
Point 3,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Ficus semicordata,130,70,0,0,0,0,0,147.6482306023,1734.78,0,0
Altingia excelsa,200,0,0,0,0,0,0,200,3183.09,,
Altingia excelsa,302,0,0,0,0,0,0,302,7257.77,,
,,,,,,,,,,,
Point 4,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Altingia excelsa,270,0,0,0,0,0,0,270,5801.18,Oxyspora sp1,Persea sp3
Castanopsis kurzii,145,0,0,0,0,0,0,145,1673.11,Oxyspora sp1,Persea sp3
species1,50,0,0,0,0,0,0,50,198.94,Oxyspora sp1,Persea sp3
species1,31,0,0,0,0,0,0,31,76.47,Persea sp3,Persea sp3
species4,21,0,0,0,0,0,0,21,35.09,Persea sp3,
Ixonanthes khasiana,140,90,40,0,0,0,0,171.1724276862,2331.61,Persea sp3,
Calophyllum polyanthum,21,0,0,0,0,0,0,21,35.09,Persea sp3,
Ficus sp3,30,0,0,0,0,0,0,30,71.62,Persea sp3,
Dittilasma rarak,13,0,0,0,0,0,0,13,13.45,Persea sp3,
Castanopsis kurzii,30,0,0,0,0,0,0,30,71.62,Persea sp3,
,,,,,,,,,,Persea sp3,
,,,,,,,,,,Persea sp3,
,,,,,,,,,,Persea sp3,
,,,,,,,,,,,
Point 5,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Altingia excelsa,170,0,0,0,0,0,0,170,2299.78,Clerodendrum griffithianum,0
Clerodendrum griffithianum,31,0,0,0,0,0,0,31,76.47,Cinnamomum tamala,
Ixonanthes khasiana,30,0,0,0,0,0,0,30,71.62,Cinnamomum tamala,
Quercus sp1,35,0,0,0,0,0,0,35,97.48,,
Quercus sp1,27,0,0,0,0,0,0,27,58.01,,
Quercus sp1,24,0,0,0,0,0,0,24,45.84,,
Quercus sp1,30,0,0,0,0,0,0,30,71.62,,
species1,40,26,0,0,0,0,0,47.7074417675,181.12,,
Castanopsis kurzii,62,0,0,0,0,0,0,62,305.9,,
species15,47,0,0,0,0,0,0,47,175.79,,
Ixonanthes khasiana,27,0,0,0,0,0,0,27,58.01,,
Ixonanthes khasiana,21,0,0,0,0,0,0,21,35.09,,
Ficus lepidosa,13,0,0,0,0,0,0,13,13.45,,
Ixonanthes khasiana,27,0,0,0,0,0,0,27,58.01,,
Altingia excelsa,175,0,0,0,0,0,0,175,2437.05,,
Ixonanthes khasiana,27,0,0,0,0,0,0,27,58.01,,
Ixonanthes khasiana,40,0,0,0,0,0,0,40,127.32,,
Castanopsis sp1,35,0,0,0,0,0,0,35,97.48,,
Castanopsis sp1,43,0,0,0,0,0,0,43,147.14,,
Altingia excelsa,60,0,0,0,0,0,0,60,286.48,,
Clerodendrum griffithianum,19,0,0,0,0,0,0,19,28.73,,
Sterculia hamiltonii,13,0,0,0,0,0,0,13,13.45,,
Castanopsis kurzii,26,0,0,0,0,0,0,26,53.79,,
,,,,,,,,,,,
Point 6,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
species17,530,0,0,0,0,0,0,530,22353.26,Oxyspora sp1,0
Chisocheton paniculatus,35,0,0,0,0,0,0,35,97.48,,
Ficus cyrtophylla,46,0,0,0,0,0,0,46,168.39,,
Clerodendrum griffithianum,36,0,0,0,0,0,0,36,103.13,,
Altingia excelsa,71,0,0,0,0,0,0,71,401.15,,
Ficus sp3,31,0,0,0,0,0,0,31,76.47,,
Castanopsis kurzii,20,0,0,0,0,0,0,20,31.83,,
species1,32,0,0,0,0,0,0,32,81.49,,
Ficus cyrtophylla,32,0,0,0,0,0,0,32,81.49,,
Citrus sp1,32,0,0,0,0,0,0,32,81.49,,
,,,,,,,,,,,
Point 7,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Ficus cyrtophylla,52,0,0,0,0,0,0,52,215.18,Ficus sp2,Persea sp3
Chisocheton paniculatus,31,0,0,0,0,0,0,31,76.47,Ficus sp2,Ficus sp2
Phoebe cooperiana,34,0,0,0,0,0,0,34,91.99,Gomphostema roxburghii,
Gomphostema roxburghii,12,0,0,0,0,0,0,12,11.46,,
Gomphostema roxburghii,17,21,10,0,0,0,0,28.8097205818,66.05,,
Ficus sp2,12,0,0,0,0,0,0,12,11.46,,
,,,,,,,,,,,
Point 8,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Castanopsis sp1,80,0,0,0,0,0,0,80,509.29,Ficus sp3,0
Cinnamomum tamala,13,0,0,0,0,0,0,13,13.45,,
species18,67,0,0,0,0,0,0,67,357.22,,
Litsea monopetala,21,0,0,0,0,0,0,21,35.09,,
Aralia armata,23,0,0,0,0,0,0,23,42.1,,
Castanopsis kurzii,11,0,0,0,0,0,0,11,9.63,,
Castanopsis kurzii,12,0,0,0,0,0,0,12,11.46,,
Castanopsis kurzii,16,0,0,0,0,0,0,16,20.37,,
Dittilasma rarak,14,0,0,0,0,0,0,14,15.6,,
,,,,,,,,,,,
Point 9,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Castanopsis kurzii,32,0,0,0,0,0,0,32,81.49,Oxyspora sp1,Oxyspora sp1
Ixonanthes khasiana,34,0,0,0,0,0,0,34,91.99,Oxyspora sp1,
species3,31,0,0,0,0,0,0,31,76.47,Oxyspora sp1,
Betula alnoides,95,0,0,0,0,0,0,95,718.19,Oxyspora sp1,
Betula alnoides,90,0,0,0,0,0,0,90,644.58,Gomphostema roxburghii,
Castanopsis sp1,27,0,0,0,0,0,0,27,58.01,Cinnamomum tamala,
Ixonanthes khasiana,17,0,0,0,0,0,0,17,23,,
Miliusa sp1,44,0,0,0,0,0,0,44,154.06,,
Altingia excelsa,96,0,0,0,0,0,0,96,733.38,,
Ixonanthes khasiana,29,0,0,0,0,0,0,29,66.92,,
Ixonanthes khasiana,22,0,0,0,0,0,0,22,38.52,,
Ixonanthes khasiana,26,0,0,0,0,0,0,26,53.79,,
Ixonanthes khasiana,26,0,0,0,0,0,0,26,53.79,,
Wendlandia paniculata,14,0,0,0,0,0,0,14,15.6,,
Engelhardia sp1,57,0,0,0,0,0,0,57,258.55,,
,,,,,,,,,,,
,,,,,,,,,,,
Uncut forest. Site 2,,,,,,,,,,,
Point 1,,,,,,,,,,,
Trees,gbh1,gbh2,gbh3,gbh4,gbh5,gbh6,gbh7,effective.gbh,basal.area,Saplings,Seedlings
Wendlandia paniculata,40,0,0,0,0,0,0,40,127.32,Linociera macrophylla,Persea sp1
Wendlandia paniculata,35,15,15,0,0,0,0,40.9267638594,133.29,Cinnamomum tamala,Persea sp1
Castanopsis kurzii,34,17,0,0,0,0,0,38.0131556175,114.99,Cinnamomum tamala,Persea sp1
Altingia excelsa,85,0,0,0,0,0,0,85,574.95,Clerodendrum griffithianum,
Altingia excelsa,33,0,0,0,0,0,0,33,86.66,Clerodendrum griffithianum,
Altingia excelsa,38,0,0,0,0,0,0,38,114.91,Oxyspora sp1,
species15,90,45,0,0,0,0,0,100.6230589875,805.72,Oxyspora sp1,
Wendlandia paniculata,36,0,0,0,0,0,0,36,103.13,Oxyspora sp1,
Wendlandia paniculata,20,20,0,0,0,0,0,28.2842712475,63.66,Ixonanthes khasiana,
