food,water,kcal,protein,lipid,carb,fiber,ca,fe,mg,p,k,na,zn,cu,vit.c,thiamin,riboflavin,niacin,vit.b6,folate,vit.a,weight
ACEROLA,91.41,32,0.4,0.3,7.69,1.1,12,0.2,18,11,146,7,0.1,0.086,1677.6,0.02,0.06,0.4,0.009,14,767,98
APPLES,85.56,52,0.26,0.17,13.81,2.4,6,0.12,5,11,107,1,0.04,0.027,4.6,0.017,0.026,0.091,0.041,3,54,125
APRICOTS,86.35,48,1.4,0.39,11.12,2,13,0.39,10,23,259,1,0.2,0.078,10,0.03,0.04,0.6,0.054,9,1926,155
ASIAN PEARS,88.25,42,0.5,0.23,10.65,3.6,4,0,8,11,121,0,0.02,0.05,3.8,0.009,0.01,0.219,0.022,8,0,122
AVOCADOS,73.23,160,2,14.66,8.53,6.7,12,0.55,29,52,485,7,0.64,0.19,10,0.067,0.13,1.738,0.257,81,146,150
BANANAS,74.91,89,1.09,0.33,22.84,2.6,5,0.26,27,22,358,1,0.15,0.078,8.7,0.031,0.073,0.665,0.367,20,64,225
BLACKBERRIES,88.15,43,1.39,0.49,9.61,5.3,29,0.62,20,22,162,1,0.53,0.165,21,0.02,0.026,0.646,0.03,25,214,144
BLUEBERRIES,84.21,57,0.74,0.33,14.49,2.4,6,0.28,6,12,77,1,0.16,0.057,9.7,0.037,0.041,0.418,0.052,6,54,148
BREADFRUIT,70.65,103,1.07,0.23,27.12,4.9,17,0.54,25,30,490,2,0.12,0.084,29,0.11,0.03,0.9,0.1,14,0,220
CANTALOUPE,90.15,34,0.84,0.19,8.16,0.9,9,0.21,12,15,267,16,0.18,0.041,36.7,0.041,0.019,0.734,0.072,21,3382,177
CASABA MELON,91.85,28,1.11,0.1,6.58,0.9,11,0.34,11,5,182,9,0.07,0.06,21.8,0.015,0.031,0.232,0.163,8,0,170
CHERIMOYA,79.39,75,1.57,0.68,17.71,3,10,0.27,17,26,287,7,0.16,0.069,12.6,0.101,0.131,0.644,0.257,23,5,160
