Country,OneSymbol,Life expectancy,logPop Density,logGDP,Cholesterol,TB,Maternal mortality,Babies per woman,Birth rate
Albania,1,76.6,4.6945,7.4403,4.89,22,8.1,1.86,14.7
Algeria,1,72.4,2.6694,7.6772,4.66,56,66.1,2.36,20.8
Angola,1,47.1,2.671,7.1011,4.39,294,592.5,5.76,42.9
Argentina,1,75.3,2.6633,9.1442,5.03,35,48.8,2.24,17.4
Armenia,1,73.8,4.6372,7.2621,4.71,81,29.5,1.74,15.2
Australia,1,81.6,1.0014,10.0804,5.13,6,5.1,1.83,12.7
Austria,1,80.5,4.5994,10.1911,5.3,10,5.5,1.39,9.1
Azerbaijan,1,70.3,4.6133,7.5733,4.53,86,37.3,2.14,19
Bahamas,1,73.6,3.1918,9.8127,5,51,58.5,2.01,16.9
Bahrain,1,75.7,7.0189,9.6989,5.06,60,36,2.27,18.2
Bangladesh,1,66.1,7.0131,6.0899,4.25,387,338.3,2.34,21.6
Belarus,1,69.2,3.8421,7.7202,5.02,69,19.1,1.28,10
Belgium,1,79.8,5.8491,10.1278,5.4,9,9.4,1.77,11.3
Belize,1,76.3,2.5719,8.2101,4.46,46,73.5,2.9,24.9
Benin,1,61.5,4.3427,5.8688,4.08,135,468.9,5.45,39.6
Bhutan,1,66,2.6819,7.0148,4.5,363,254.9,2.64,21.5
Bolivia,1,65.7,2.1775,7.0255,4.58,198,180.2,3.46,27.3
Bosnia and Herzegovina,1,75.2,4.3,7.6214,4.68,55,11.8,1.21,9.2
Botswana,1,54.4,1.1945,8.3972,4.6,622,518.8,2.87,24.7
Brazil,1,72.4,3.1156,8.3603,4.83,60,54.6,1.88,16.4
Brunei,1,77.2,4.2202,9.8064,5.13,65,37,2.08,20.1
Bulgaria,1,73.3,4.2262,7.7885,4.99,41,27.7,1.41,9.6
Burkina Faso,1,53.1,4.0181,5.5617,3.9,403,332.4,5.91,47.8
Burundi,1,50.5,5.6702,4.698,3.95,647,569.5,4.59,34.6
Cambodia,1,61.1,4.3875,6.1876,4.36,664,265.8,2.91,24.9
Cameroon,1,51.1,3.6926,6.5396,4.07,195,704.6,4.62,37.1
Canada,1,80.7,1.2048,10.1796,5.09,4,6.6,1.57,10.6
Cape Verde,1,71.4,4.8174,7.3485,4.25,280,74.7,2.73,24.3
Central African Rep.,1,47,1.9409,5.4427,4.06,425,1570.4,4.8,35.6
