"","WS","body","log.mass","species"
"1",70.6872766267,43.8584327017,5.6918411746,"coopers"
"2",218.221316398,86.4925003505,8.4908459364,"eagle"
"3",99.5185683281,45.8801088615,6.0132290771,"harrier"
"4",184.4950389288,55.9906051977,7.308527445,"osprey"
"5",97.6762920325,44.8398805975,6.9209010458,"peregrine"
"6",117.9090437341,54.6483796861,6.8398266671,"redtail"
"7",170.377956151,67.6243725642,7.3114820063,"vulture"
"8",75.6211009554,45.581845312,5.758726511,"coopers"
"9",217.0842321845,87.179866122,8.5004481239,"eagle"
"10",110.3200336156,51.8977826404,6.1019461403,"harrier"
"11",176.6599476255,53.8648713718,7.2823435733,"osprey"
"12",101.4875069956,46.3068788949,6.880566878,"peregrine"
"13",111.7091373325,49.341197239,6.7710107234,"redtail"
"14",181.5825869682,74.143743409,7.4428771177,"vulture"
"15",78.0233707391,47.1252769986,5.8183102933,"coopers"
"16",205.1048228343,85.0707494481,8.5239170198,"eagle"
"17",111.5691909727,52.384351495,6.0959033331,"harrier"
"18",184.383079589,57.529871167,7.3445118317,"osprey"
"19",98.698253137,47.5358226971,6.8631077376,"peregrine"
"20",122.1615530024,52.9682489987,6.8461488392,"redtail"
"21",156.8113628919,67.8563362962,7.2643514958,"vulture"
"22",75.5121426887,44.4396794582,5.7001843616,"coopers"
"23",202.3267317606,83.4488285344,8.4649864803,"eagle"
"24",123.1960040076,55.3573088035,6.2614730826,"harrier"
"25",176.6709203314,55.5292598687,7.3309944724,"osprey"
"26",101.319783062,46.244490787,6.9651618263,"peregrine"
"27",128.8426077181,56.8398982626,6.9676307962,"redtail"
"28",168.1875217463,72.4350290858,7.3207845212,"vulture"
"29",78.6683397465,46.7156428271,5.8038874513,"coopers"
"30",233.5360556083,95.4917493337,8.6882241983,"eagle"
"31",105.2303184712,47.291572966,6.0223894911,"harrier"
"32",170.0202938635,58.1877719799,7.3092658885,"osprey"
"33",110.5476225604,50.1333543893,7.0181021062,"peregrine"
"34",114.2896540535,52.6023442826,6.8163922825,"redtail"
"35",164.6660176897,68.4277789539,7.3001335025,"vulture"
"36",76.8087848025,45.9056000471,5.794904628,"coopers"
"37",207.6081865422,86.4478062489,8.5448551599,"eagle"
"38",108.098153177,50.6257366447,6.0909557289,"harrier"
"39",188.0844879659,58.5633038466,7.3752719846,"osprey"
"40",100.8426659061,46.491200311,6.8674843886,"peregrine"
"41",125.0091160476,55.7094519951,6.9277762404,"redtail"
"42",177.674430156,76.1610738798,7.4098363583,"vulture"
"43",70.1664801171,43.1280281368,5.6658420607,"coopers"
"44",192.429170714,78.6602883446,8.3762636603,"eagle"
"45",109.5379288973,50.8498664144,6.1025412585,"harrier"
"46",172.691405956,52.843920801,7.2217512816,"osprey"
"47",104.6524961225,49.0508728542,6.9144570715,"peregrine"
"48",119.7200825808,52.2388702202,6.8594591364,"redtail"
"49",155.916505637,65.1060084581,7.2527619228,"vulture"
"50",79.506591941,49.6763251599,5.8304878074,"coopers"
"51",206.9904219634,86.1554148558,8.4869827812,"eagle"
"52",111.2465555192,52.827007662,6.1588409541,"harrier"
"53",189.3137653459,59.0305494206,7.4089807929,"osprey"
"54",95.5630945554,43.7291586907,6.8146215177,"peregrine"
