"","Sex","Age","Survival","Length","Wingspread","Weight","Skull_Length","Humerus_Length","Femur_Length","Tarsus_Length","Sternum_Length","Skull_Width"
"1","Male","Adult","Alive",154,241,24.5,31.2,17.4,17,26,21.1,14.9
"2","Male","Adult","Alive",160,252,26.9,30.8,18.7,18,30,21.4,15.3
"3","Male","Adult","Alive",155,243,26.9,30.6,18.6,17.9,29.2,21.5,15.3
"4","Male","Adult","Alive",154,245,24.3,31.7,18.8,17.5,29.1,21.3,14.8
"5","Male","Adult","Alive",156,247,24.1,31.5,18.2,17.9,28.7,20.9,14.6
"6","Male","Adult","Alive",161,253,26.5,31.8,19.8,18.9,29.1,22.7,15.4
"7","Male","Adult","Alive",157,251,24.6,31.1,18.8,18.7,29.3,21.9,15.5
"8","Male","Adult","Alive",159,247,24.2,31.4,18.5,18.2,28.6,20.1,15.5
"9","Male","Adult","Alive",158,247,23.6,29.8,17.9,17.1,27.4,20.8,15.3
"10","Male","Adult","Alive",158,252,26.2,32,19,18.8,29.3,21.8,15.6
"11","Male","Adult","Alive",160,252,26.2,32,18.8,18.4,28.7,22.7,15.8
"12","Male","Adult","Alive",162,253,24.8,32.3,19.5,19.1,28.8,23.4,16.1
"13","Male","Adult","Alive",161,243,25.4,31.8,18.3,18.3,28.6,22.6,15.2
"14","Male","Adult","Alive",160,250,23.7,29.8,18.5,17.9,28,20.8,15
"15","Male","Adult","Alive",159,247,25.7,31.4,18.5,18.2,29,23.5,15
"16","Male","Adult","Alive",158,253,25.7,31.9,18.9,17.8,29.2,21.8,15.2
"17","Male","Adult","Alive",159,247,26.5,31.6,18.6,18.1,29.3,23.4,15.5
"18","Male","Adult","Alive",166,253,26.7,32.5,19.5,19.4,31.2,22.3,15.2
"19","Male","Adult","Alive",159,247,23.9,31.4,19.1,18.4,28.3,21,15.3
"20","Male","Adult","Alive",160,248,24.7,31.3,19.1,18.7,29.9,20.4,15.3
"21","Male","Adult","Alive",161,252,28,31.8,19.6,18.6,30.2,22.5,15
"22","Male","Adult","Alive",163,251,27.9,31.9,19.5,18.9,29.7,21.8,15.8
"23","Male","Adult","Alive",156,242,25.9,32,18.4,18.1,28.3,22.5,15.5
"24","Male","Adult","Alive",165,251,25.7,32.2,19.1,18.8,29.5,22,15.6
"25","Male","Adult","Alive",160,247,26.6,32.4,18.5,18,28.1,21.2,15
"26","Male","Adult","Alive",158,244,23.2,31.6,18.5,18.1,29,22.6,14.9
"27","Male","Adult","Alive",160,242,25.7,31.6,18,17.9,28.5,20,15.7
"28","Male","Adult","Alive",157,245,26.3,32.2,18.8,18.4,29,21.6,15.1
"29","Male","Adult","Alive",159,244,24.3,31.5,18.4,17.7,28.1,21.5,15.6
"30","Male","Adult","Alive",160,253,26.7,32.1,18.8,18.1,28.4,21.9,15
"31","Male","Adult","Alive",158,245,24.9,31.4,18.4,17.9,28.4,21.7,14.7
"32","Male","Adult","Alive",161,247,23.8,31.4,18.7,17.6,28,20,15.3
"33","Male","Adult","Alive",160,247,24.6,32.3,19.2,18.9,28.8,23,15.4
"34","Male","Adult","Alive",160,247,27,32,19.2,18.7,29.8,22.2,16
"35","Male","Adult","Alive",153,241,24.7,32.2,18.5,17.3,27.7,22.5,15
"36","Male","Adult","Dead",165,249,26.5,31,18.8,17.9,27.8,21.5,15.4
"37","Male","Adult","Dead",160,245,26.1,32,18.7,18,28.2,21.4,15.5
"38","Male","Adult","Dead",161,249,25.6,32.3,18.9,18.2,28.7,21,15.3
"39","Male","Adult","Dead",162,246,25.9,32.3,18.8,18,28.8,22.1,15.4
"40","Male","Adult","Dead",163,250,25.5,32.5,19.1,18.6,30.4,22.6,15.8
"41","Male","Adult","Dead",162,247,27.6,31.8,18.6,18.3,28.3,22.1,15.2
"42","Male","Adult","Dead",163,246,25.8,31.4,17.5,16.8,27.3,21.2,15.3
"43","Male","Adult","Dead",161,246,24.9,30.5,18.8,18.4,28.9,20.4,14.7
"44","Male","Adult","Dead",160,242,26,31,18.9,18.1,28.1,20.4,15.2
"45","Male","Adult","Dead",162,246,26.5,31.5,18.3,17.7,27.7,20.5,15.4
"46","Male","Adult","Dead",160,249,26,31.4,18.4,17.5,27.9,21.6,15.3
"47","Male","Adult","Dead",161,250,27.1,31.6,18.7,18.1,28.4,21.6,16
"48","Male","Adult","Dead",162,248,25.1,31.9,18.9,18.3,29.3,21.3,15
"49","Male","Adult","Dead",165,252,26,32.3,18.4,18,29.1,22.5,15.5
"50","Male","Adult","Dead",161,243,25.6,32.5,18,18,28.5,21.1,15.4
"51","Male","Adult","Dead",161,244,25,31.3,17.8,17.4,27.5,22.2,15.1
"52","Male","Adult","Dead",162,248,24.6,31,18.1,17.8,27.6,21.3,15
"53","Male","Adult","Dead",164,244,25,31.2,17.9,17.5,27.3,20.2,15.4
"54","Male","Adult","Dead",158,247,26,32,18.5,18,29.1,20.4,15.4
"55","Male","Adult","Dead",162,253,28.3,31.8,19.1,18.2,29.3,21.8,15.2
"56","Male","Adult","Dead",156,239,24.6,30.5,16.7,16.7,26.5,20.6,14.5
"57","Male","Adult","Dead",166,251,27.5,31.5,18.3,17.6,28.4,21.5,15.5
"58","Male","Adult","Dead",165,253,31,32.4,19.4,19,30,23,15.6
"59","Male","Adult","Dead",166,250,28.3,32.4,19.1,18.2,29.9,23.3,15.4
"60","Male","Young","Alive",156,246,24.6,32,18.8,18.7,29.6,21.6,15
"61","Male","Young","Alive",156,245,25.5,32.1,19.3,18.2,29.1,20.7,15.7
"62","Male","Young","Alive",163,248,24.8,32.2,18.9,18.6,29.6,21.7,15.4
"63","Male","Young","Alive",163,248,26.3,33,18.7,17.9,29.2,21.3,15.5
"64","Male","Young","Alive",160,250,24.4,31.5,18.9,18.2,29.8,22.7,15.3
"65","Male","Young","Alive",156,237,23.3,30.6,17.6,16.9,25.7,19.7,14.9
"66","Male","Young","Alive",162,253,26.7,32,19.3,18.6,30.4,22.3,16
"67","Male","Young","Alive",163,254,26.4,32,19.5,19,29.6,22.5,15.4
"68","Male","Young","Alive",164,251,26.9,32,19.2,18.8,29.7,22.5,15.7
"69","Male","Young","Alive",163,244,24.3,31.3,18.2,17.3,27.5,22.7,15.5
"70","Male","Young","Alive",160,247,27,31.5,19.4,18.6,29.9,21.5,15.7
"71","Male","Young","Alive",160,250,26.8,32.5,19.4,18.5,28.5,21.4,16.1
"72","Male","Young","Alive",158,247,24.9,32.4,18.9,18.4,28.9,22,14.9
"73","Male","Young","Alive",158,249,26.1,32.2,18.9,18.7,29.2,20.8,15.3
"74","Male","Young","Alive",158,243,26.6,32.4,19,18.1,29.5,22.6,15.5
"75","Male","Young","Alive",155,237,23.3,30.2,17.4,16.6,25.7,20.2,14.9
"76","Male","Young","Dead",160,249,24.2,30.4,18.8,18.2,28.7,21.3,15.7
"77","Male","Young","Dead",156,236,26.8,30,17.5,17,27.1,21.1,14.3
"78","Male","Young","Dead",158,240,23.5,31,18.2,17.8,28.3,20.4,15.1
"79","Male","Young","Dead",166,245,26.9,31.7,18.2,17.7,28.1,21.5,15.3
"80","Male","Young","Dead",165,255,28.6,31.5,19.5,18.9,29.8,21.7,15.6
"81","Male","Young","Dead",157,238,24.7,31.2,17.3,17.2,29.4,19.5,15.2
"82","Male","Young","Dead",164,250,27.3,31.8,19.4,18.4,29.7,21.8,14.9
"83","Male","Young","Dead",166,256,25.7,31.7,19.1,19.1,30.1,21.8,15.1
"84","Male","Young","Dead",167,255,29,32.2,19.4,18.9,30.4,21.7,16.2
"85","Male","Young","Dead",161,246,25,31.5,18.8,18,28.5,21.6,14.9
"86","Male","Young","Dead",166,254,27.5,31.4,19.3,18.8,28.5,23.2,15.3
"87","Male","Young","Dead",161,251,26,31.5,18.6,18,28.5,21,15
"88","Female","Adult","Alive",156,245,25.3,31.6,18.5,18,29.3,20.5,15.7
"89","Female","Young","Alive",154,240,22.6,30.4,17.9,17.4,28,19.6,14.8
"90","Female","Adult","Alive",153,240,25.1,31,18.4,18.1,28.5,20.6,14.9
"91","Female","Young","Alive",153,236,23.2,30.9,17.7,17.2,28.8,20.2,15.1
"92","Female","Young","Alive",155,243,24.4,31.5,18.6,18.7,29.7,20.3,15.1
"93","Female","Young","Alive",163,247,25.1,32,19,18.6,29.6,20.9,15.3
"94","Female","Adult","Alive",157,238,24.6,30.9,18.4,18.5,29.8,20.2,14.9
"95","Female","Adult","Alive",155,239,24,32.8,18.6,18.8,29.8,21.2,15.3
"96","Female","Adult","Alive",164,248,24.2,32.7,19.1,19.1,30.5,21.1,15.3
"97","Female","Young","Alive",158,238,24.9,31,18.8,17.5,27.7,22,15
"98","Female","Adult","Alive",158,240,24.1,31.3,18.6,17.9,28.1,22,15
"99","Female","Young","Alive",160,244,24,31.1,18.6,18.5,29.3,20.5,15
"100","Female","Adult","Alive",161,246,26,32.3,19.2,18.6,29.3,21.8,15.8
